cbsa,size,effectiveDate,geographicWageIndex,reclassifiedWageIndex,name
26980,,20191001,00.9754,00.9337,Iowa City IA
27060,,20191001,00.9053,00.8844,Ithaca NY
27100,,20191001,00.9187,00.9187,Jackson MI
27140,,20191001,00.8004,00.7762,Jackson MS
27180,,20191001,00.7609,00.7609,Jackson TN
27260,,20191001,00.8737,00.8737,Jacksonville FL
27340,,20191001,00.7514,00.7514,Jacksonville NC
27500,,20191001,00.9065,00.9065,Janesville-Beloit WI
27620,,20191001,00.8494,00.8494,Jefferson City MO
27740,,20191001,00.7028,00.7028,Johnson City TN
27780,,20191001,00.8107,00.8107,Johnstown PA
27860,,20191001,00.7952,00.7843,Jonesboro AR
27900,,20191001,00.7741,00.7741,Joplin MO
27980,,20191001,01.3024,01.3024,Kahului-Wailuku-Lahaina HI
28020,,20191001,01.0110,00.9401,Kalamazoo-Portage MI
28100,,20191001,00.9025,00.8746,Kankakee IL
28140,,20191001,00.9262,00.9262,Kansas City MO-KS
28420,,20191001,01.0172,01.0172,Kennewick-Richland WA
28660,,20191001,00.9860,00.9700,Killeen-Temple TX
28700,,20191001,00.6759,00.6759,Kingsport-Bristol-Bristol TN-VA
28740,,20191001,00.9016,00.9016,Kingston NY
28940,,20191001,00.7145,00.7145,Knoxville TN
29020,,20191001,00.9403,00.9403,Kokomo IN
29100,,20191001,00.9731,00.9731,La Crosse-Onalaska WI-MN
29180,,20191001,00.7773,00.7773,Lafayette LA
29200,,20191001,00.9691,00.9691,Lafayette-West Lafayette IN
29340,,20191001,00.7641,00.7534,Lake Charles LA
29404,,20191001,01.0395,01.0395,Lake County-Kenosha County IL-WI
29420,,20191001,00.9849,00.9849,Lake Havasu City-Kingman AZ
29460,,20191001,00.8028,00.8028,Lakeland-Winter Haven FL
29540,,20191001,00.9016,00.9016,Lancaster PA
29620,,20191001,00.9889,00.9465,Lansing-East Lansing MI
29700,,20191001,00.8005,00.8005,Laredo TX
29740,,20191001,00.9028,00.8648,Las Cruces NM
29820,,20191001,01.1570,01.1570,Las Vegas-Henderson-Paradise NV
29940,,20191001,00.8455,00.8455,Lawrence KS
30020,,20191001,00.7620,00.7620,Lawton OK
30140,,20191001,00.9357,00.9357,Lebanon PA
30300,,20191001,00.8433,00.8433,Lewiston ID-WA
30340,,20191001,00.8708,00.8708,Lewiston-Auburn ME
30460,,20191001,00.9060,00.8873,Lexington-Fayette KY
30620,,20191001,00.8668,00.8668,Lima OH
30700,,20191001,00.9553,00.9553,Lincoln NE
30780,,20191001,00.8069,00.8069,Little Rock-North Little Rock-Conway AR
30860,,20191001,00.8996,00.8996,Logan UT-ID
30980,,20191001,00.7900,00.7900,Longview TX
31020,,20191001,01.1597,01.1597,Longview WA
31084,,20191001,01.2918,01.2658,Los Angeles-Long Beach-Glendale CA
31140,,20191001,00.8885,00.8885,Louisville/Jefferson County KY-IN
31180,,20191001,00.8408,00.8408,Lubbock TX
31340,,20191001,00.8616,00.8494,Lynchburg VA
31420,,20191001,00.8510,00.8257,Macon-Bibb County GA
31460,,20191001,00.8004,00.8004,Madera CA
31540,,20191001,01.0565,01.0436,Madison WI
31700,,20191001,00.9822,00.9822,Manchester-Nashua NH
31740,,20191001,00.8957,00.8957,Manhattan KS
31860,,20191001,01.0449,01.0449,Mankato-North Mankato MN
31900,,20191001,00.8591,00.8591,Mansfield OH
32420,,20191001,00.3421,00.3421,Mayag?ez PR
32580,,20191001,00.8408,00.8408,McAllen-Edinburg-Mission TX
32780,,20191001,01.0747,01.0619,Medford OR
32820,,20191001,00.8670,00.8435,Memphis TN-MS-AR
32900,,20191001,01.3241,01.3241,Merced CA
33124,,20191001,00.9474,00.9474,Miami-Miami Beach-Kendall FL
33140,,20191001,00.9309,00.9309,Michigan City-La Porte IN
33220,,20191001,00.9096,00.8673,Midland MI
33260,,20191001,00.9994,00.9788,Midland TX
33340,,20191001,00.9607,00.9607,Milwaukee-Waukesha-West Allis WI
33460,,20191001,01.1215,01.0933,Minneapolis-St. Paul-Bloomington MN-WI
33540,,20191001,00.9271,00.9009,Missoula MT
33660,,20191001,00.7566,00.7566,Mobile AL
33700,,20191001,01.2765,01.2765,Modesto CA
33740,,20191001,00.7873,00.7760,Monroe LA
33780,,20191001,00.8851,00.8851,Monroe MI
33860,,20191001,00.7559,00.7559,Montgomery AL
33874,,20191001,00.9880,00.9880,Montgomery County-Bucks County-Chester County P
34060,,20191001,00.8277,00.8277,Morgantown WV
34100,,20191001,00.6870,00.6870,Morristown TN
34580,,20191001,01.0185,01.0185,Mount Vernon-Anacortes WA
34620,,20191001,00.9228,00.8866,Muncie IN
34740,,20191001,00.9401,00.9169,Muskegon MI
34820,,20191001,00.8405,00.8182,Myrtle Beach-Conway-North Myrtle Beach SC-NC
34900,,20191001,01.5493,01.5493,Napa CA
34940,,20191001,00.8670,00.8670,Naples-Immokalee-Marco Island FL
34980,,20191001,00.8787,00.8582,Nashville-Davidson--Murfreesboro--Franklin TN
35004,,20191001,01.3525,01.3525,Nassau County-Suffolk County NY
35084,,20191001,01.1208,01.0817,Newark NJ-PA
35100,,20191001,00.8234,00.7909,New Bern NC
35300,,20191001,01.1754,01.1554,New Haven-Milford CT
35380,,20191001,00.8236,00.8135,New Orleans-Metairie LA
35614,,20191001,01.2866,01.2720,New York-Jersey City-White Plains NY-NJ
35660,,20191001,00.8598,00.8598,Niles-Benton Harbor MI
35840,,20191001,00.9205,00.8912,North Port-Sarasota-Bradenton FL
35980,,20191001,01.2426,01.2426,Norwich-New London CT
