diagnosticRelatedGroup,effectiveDate,weight,geometricMeanLengthOfStay,lowVolumeDrg,arithmeticMeanLengthOfStay,postAcuteCare,specialPaymentPostAcuteCare,description
063,20261001,1.4038,2.2,,2.5,,,"ISCHEMIC STROKE, PRECEREBR"
064,20261001,2.0110,4.4,,6.3,Y,,INTRACRANIAL HEMORRHAGE OR
065,20261001,1.0103,2.8,,3.6,Y,,INTRACRANIAL HEMORRHAGE OR
066,20261001,0.6844,1.9,,2.3,Y,,INTRACRANIAL HEMORRHAGE OR
067,20261001,1.4687,3.4,,4.7,,,PRECEREBRAL OCCLUSION WITH
068,20261001,0.8644,2.0,,2.5,,,PRECEREBRAL OCCLUSION WITH
069,20261001,0.7988,2.0,,2.5,,,TRANSIENT ISCHEMIA WITHOUT
070,20261001,1.6648,4.5,,6.3,Y,,OTHER CEREBROVASCULAR DISO
071,20261001,1.0260,3.3,,4.4,Y,,OTHER CEREBROVASCULAR DISO
072,20261001,0.7562,2.3,,2.9,Y,,OTHER CEREBROVASCULAR DISO
073,20261001,1.6043,4.1,,5.8,,,CRANIAL AND PERIPHERAL NER
074,20261001,1.0308,2.8,,3.7,,,CRANIAL AND PERIPHERAL NER
075,20261001,1.9175,5.5,,7.2,,,VIRAL MENINGITIS WITH CC/M
076,20261001,0.8252,2.6,,3.2,,,VIRAL MENINGITIS WITHOUT C
080,20261001,1.8100,4.7,,6.5,,,NONTRAUMATIC STUPOR AND CO
081,20261001,0.8956,2.8,,3.6,,,NONTRAUMATIC STUPOR AND CO
082,20261001,2.2856,4.4,,6.6,,,TRAUMATIC STUPOR AND COMA
083,20261001,1.3958,3.2,,4.3,,,TRAUMATIC STUPOR AND COMA
084,20261001,0.9558,2.1,,2.5,,,TRAUMATIC STUPOR AND COMA
085,20261001,2.2719,4.6,,6.3,Y,,TRAUMATIC STUPOR AND COMA
086,20261001,1.3027,2.9,,3.6,Y,,TRAUMATIC STUPOR AND COMA
087,20261001,0.9147,1.9,,2.3,Y,,TRAUMATIC STUPOR AND COMA
088,20261001,1.3518,3.4,,4.5,,,CONCUSSION WITH MCC
089,20261001,1.0986,2.5,,3.3,,,CONCUSSION WITH CC
090,20261001,0.8232,1.9,,2.3,,,CONCUSSION WITHOUT CC/MCC
091,20261001,1.7562,4.4,,6.3,Y,,OTHER DISORDERS OF NERVOUS
092,20261001,1.0230,3.0,,4.0,Y,,OTHER DISORDERS OF NERVOUS
093,20261001,0.7963,2.2,,2.7,Y,,OTHER DISORDERS OF NERVOUS
094,20261001,3.5194,7.9,,10.5,,,BACTERIAL AND TUBERCULOUS
095,20261001,2.5792,5.6,,6.8,,,BACTERIAL AND TUBERCULOUS
096,20261001,2.5792,5.6,,6.8,,,BACTERIAL AND TUBERCULOUS
097,20261001,3.6118,8.7,,11.7,,,NON-BACTERIAL INFECTION OF
098,20261001,2.2949,5.9,,7.7,,,NON-BACTERIAL INFECTION OF
099,20261001,1.3624,3.8,,4.7,,,NON-BACTERIAL INFECTION OF
100,20261001,1.9368,4.3,,6.3,Y,,SEIZURES WITH MCC
101,20261001,0.9026,2.6,,3.4,Y,,SEIZURES WITHOUT MCC
102,20261001,1.1209,2.9,,4.0,,,HEADACHES WITH MCC
103,20261001,0.8363,2.3,,2.9,,,HEADACHES WITHOUT MCC
113,20261001,2.3511,4.7,,6.5,,,ORBITAL PROCEDURES WITH CC
114,20261001,1.3530,2.3,,3.3,,,ORBITAL PROCEDURES WITHOUT
115,20261001,1.5349,3.8,,5.3,,,EXTRAOCULAR PROCEDURES EXC
116,20261001,1.8081,4.0,,6.3,,,INTRAOCULAR PROCEDURES WIT
117,20261001,1.0849,1.9,,2.5,,,INTRAOCULAR PROCEDURES WIT
121,20261001,1.1633,4.1,,5.5,,,ACUTE MAJOR EYE INFECTIONS
122,20261001,0.7858,3.2,,4.0,,,ACUTE MAJOR EYE INFECTIONS
123,20261001,0.7986,2.1,,2.6,,,NEUROLOGICAL EYE DISORDERS
124,20261001,1.3231,3.2,,4.6,,,OTHER DISORDERS OF THE EYE
125,20261001,0.7678,2.2,,2.9,,,OTHER DISORDERS OF THE EYE
135,20261001,2.1700,3.6,,5.6,,,SINUS AND MASTOID PROCEDUR
136,20261001,1.0153,1.3,,1.6,,,SINUS AND MASTOID PROCEDUR
137,20261001,1.4932,3.4,,4.9,,,MOUTH PROCEDURES WITH CC/M
138,20261001,0.8862,1.6,,2.0,,,MOUTH PROCEDURES WITHOUT C
139,20261001,1.2357,2.0,,2.9,,,SALIVARY GLAND PROCEDURES
140,20261001,4.2653,6.9,,9.1,,,MAJOR HEAD AND NECK PROCED
141,20261001,2.1811,3.0,,4.1,,,MAJOR HEAD AND NECK PROCED
142,20261001,1.5964,1.9,,2.5,,,MAJOR HEAD AND NECK PROCED
143,20261001,3.7466,6.2,,9.5,,,"OTHER EAR, NOSE, MOUTH AND"
144,20261001,1.7329,2.8,,3.8,,,"OTHER EAR, NOSE, MOUTH AND"
145,20261001,1.2023,1.6,,1.9,,,"OTHER EAR, NOSE, MOUTH AND"
146,20261001,2.1174,5.5,,8.0,,,"EAR, NOSE, MOUTH AND THROA"
147,20261001,1.2715,3.5,,4.8,,,"EAR, NOSE, MOUTH AND THROA"
148,20261001,0.7971,1.9,,2.4,,,"EAR, NOSE, MOUTH AND THROA"
149,20261001,0.7516,1.9,,2.4,,,DYSEQUILIBRIUM
150,20261001,1.3315,3.4,,4.5,,,EPISTAXIS WITH MCC
151,20261001,0.7340,2.1,,2.6,,,EPISTAXIS WITHOUT MCC
152,20261001,1.1822,3.2,,4.4,,,OTITIS MEDIA AND URI WITH
153,20261001,0.7382,2.2,,2.8,,,OTITIS MEDIA AND URI WITHO
154,20261001,1.5635,3.9,,5.6,,,"OTHER EAR, NOSE, MOUTH AND"
155,20261001,0.9165,2.8,,3.5,,,"OTHER EAR, NOSE, MOUTH AND"
156,20261001,0.6911,2.0,,2.4,,,"OTHER EAR, NOSE, MOUTH AND"
157,20261001,1.7168,4.5,,6.3,,,DENTAL AND ORAL DISEASES W
158,20261001,0.9098,2.8,,3.5,,,DENTAL AND ORAL DISEASES W
159,20261001,0.7085,2.1,,2.5,,,DENTAL AND ORAL DISEASES W
163,20261001,4.4818,6.3,,8.7,Y,,MAJOR CHEST PROCEDURES WIT
164,20261001,2.5240,3.4,,4.3,Y,,MAJOR CHEST PROCEDURES WIT
165,20261001,1.9142,2.0,,2.4,Y,,MAJOR CHEST PROCEDURES WIT
166,20261001,3.7377,7.6,,10.5,Y,,OTHER RESPIRATORY SYSTEM O
167,20261001,1.8034,3.4,,4.6,Y,,OTHER RESPIRATORY SYSTEM O
168,20261001,1.3664,1.8,,2.2,Y,,OTHER RESPIRATORY SYSTEM O
173,20261001,2.9764,3.8,,4.6,,,ULTRASOUND ACCELERATED AND
175,20261001,1.3736,3.8,,4.9,Y,,PULMONARY EMBOLISM WITH MC
176,20261001,0.8050,2.4,,3.0,Y,,PULMONARY EMBOLISM WITHOUT
177,20261001,1.5627,4.4,,5.7,Y,,RESPIRATORY INFECTIONS AND
178,20261001,0.9760,3.1,,3.9,Y,,RESPIRATORY INFECTIONS AND
179,20261001,0.7550,2.4,,3.0,Y,,RESPIRATORY INFECTIONS AND
180,20261001,1.7660,4.8,,6.5,,,RESPIRATORY NEOPLASMS WITH
181,20261001,1.0710,3.1,,4.1,,,RESPIRATORY NEOPLASMS WITH
182,20261001,0.7538,2.2,,2.8,,,RESPIRATORY NEOPLASMS WITH
183,20261001,1.5299,4.2,,5.4,,,MAJOR CHEST TRAUMA WITH MC
184,20261001,1.0641,3.1,,3.7,,,MAJOR CHEST TRAUMA WITH CC
185,20261001,0.7865,2.3,,2.7,,,MAJOR CHEST TRAUMA WITHOUT
186,20261001,1.5585,4.2,,5.6,Y,,PLEURAL EFFUSION WITH MCC
187,20261001,0.9891,3.0,,3.8,Y,,PLEURAL EFFUSION WITH CC
188,20261001,0.7172,2.1,,2.6,Y,,PLEURAL EFFUSION WITHOUT C
189,20261001,1.2354,3.5,,4.7,,,PULMONARY EDEMA AND RESPIR
190,20261001,1.1077,3.3,,4.2,Y,,CHRONIC OBSTRUCTIVE PULMON
191,20261001,0.8430,2.6,,3.3,Y,,CHRONIC OBSTRUCTIVE PULMON
192,20261001,0.6420,2.1,,2.5,Y,,CHRONIC OBSTRUCTIVE PULMON
193,20261001,1.3144,3.9,,4.9,Y,,SIMPLE PNEUMONIA AND PLEUR
194,20261001,0.8059,2.8,,3.4,Y,,SIMPLE PNEUMONIA AND PLEUR
195,20261001,0.6285,2.2,,2.7,Y,,SIMPLE PNEUMONIA AND PLEUR
196,20261001,1.8872,4.8,,6.5,Y,,INTERSTITIAL LUNG DISEASE
197,20261001,0.9491,2.9,,3.6,Y,,INTERSTITIAL LUNG DISEASE
198,20261001,0.7162,2.2,,2.7,Y,,INTERSTITIAL LUNG DISEASE
199,20261001,1.7641,4.8,,6.3,,,PNEUMOTHORAX WITH MCC
200,20261001,1.0993,3.1,,3.9,,,PNEUMOTHORAX WITH CC
201,20261001,0.7151,2.3,,2.8,,,PNEUMOTHORAX WITHOUT CC/MC
202,20261001,0.9712,2.9,,3.6,,,BRONCHITIS AND ASTHMA WITH
203,20261001,0.6700,2.2,,2.6,,,BRONCHITIS AND ASTHMA WITH
204,20261001,0.8074,2.1,,2.7,,,RESPIRATORY SIGNS AND SYMP
205,20261001,1.8310,4.4,,6.0,Y,,OTHER RESPIRATORY SYSTEM D
206,20261001,0.9411,2.4,,3.1,Y,,OTHER RESPIRATORY SYSTEM D
207,20261001,6.4347,12.5,,15.1,Y,,RESPIRATORY SYSTEM DIAGNOS
208,20261001,2.7487,4.9,,7.1,,,RESPIRATORY SYSTEM DIAGNOS
209,20261001,11.3188,6.7,,10.6,,,COMPLEX AORTIC ARCH PROCED
212,20261001,10.8741,12.5,,15.5,,,CONCOMITANT AORTIC AND MIT
213,20261001,5.7069,1.7,,2.9,,,ENDOVASCULAR ABDOMINAL AOR
215,20261001,9.9570,4.7,,8.1,,,OTHER HEART ASSIST SYSTEM
216,20261001,9.7828,10.6,,13.6,Y,Y,CARDIAC VALVE AND OTHER MA
217,20261001,6.5753,4.3,,6.2,Y,Y,CARDIAC VALVE AND OTHER MA
218,20261001,6.5753,4.3,,6.2,Y,Y,CARDIAC VALVE AND OTHER MA
219,20261001,7.6783,8.2,,10.0,Y,Y,CARDIAC VALVE AND OTHER MA
220,20261001,5.3328,5.4,,6.1,Y,Y,CARDIAC VALVE AND OTHER MA
221,20261001,5.0402,2.9,,3.6,Y,Y,CARDIAC VALVE AND OTHER MA
228,20261001,4.9474,6.1,,8.5,,,OTHER CARDIOTHORACIC PROCE
229,20261001,3.1495,2.4,,3.2,,,OTHER CARDIOTHORACIC PROCE
231,20261001,8.4299,10.4,,12.0,,,CORONARY BYPASS WITH PTCA
232,20261001,6.0626,7.5,,8.6,,,CORONARY BYPASS WITH PTCA
233,20261001,7.6452,11.0,,12.3,Y,,CORONARY BYPASS WITH CARDI
234,20261001,5.4627,8.2,,8.8,Y,,CORONARY BYPASS WITH CARDI
235,20261001,5.8686,8.0,,9.1,Y,,CORONARY BYPASS WITHOUT CA
236,20261001,4.1888,5.8,,6.2,Y,,CORONARY BYPASS WITHOUT CA
239,20261001,4.9217,11.1,,13.8,Y,,AMPUTATION FOR CIRCULATORY
240,20261001,2.8505,7.3,,8.8,Y,,AMPUTATION FOR CIRCULATORY
241,20261001,1.3844,4.0,,4.8,Y,,AMPUTATION FOR CIRCULATORY
242,20261001,3.1928,4.8,,6.2,Y,,PERMANENT CARDIAC PACEMAKE
243,20261001,2.1309,2.8,,3.5,Y,,PERMANENT CARDIAC PACEMAKE
244,20261001,1.8075,2.1,,2.5,Y,,PERMANENT CARDIAC PACEMAKE
245,20261001,4.5624,4.1,,6.2,,,AICD GENERATOR PROCEDURES
250,20261001,2.1825,3.1,,4.3,,,PERCUTANEOUS CARDIOVASCULA
251,20261001,1.4945,2.0,,2.4,,,PERCUTANEOUS CARDIOVASCULA
252,20261001,3.4883,5.3,,7.8,,,OTHER VASCULAR PROCEDURES
253,20261001,2.5956,3.7,,5.1,,,OTHER VASCULAR PROCEDURES
254,20261001,1.7817,1.8,,2.2,,,OTHER VASCULAR PROCEDURES
255,20261001,2.6974,6.8,,8.6,Y,,UPPER LIMB AND TOE AMPUTAT
256,20261001,1.6979,5.0,,6.1,Y,,UPPER LIMB AND TOE AMPUTAT
257,20261001,1.0922,3.1,,3.8,Y,,UPPER LIMB AND TOE AMPUTAT
258,20261001,3.1421,5.4,,7.2,,,CARDIAC PACEMAKER DEVICE R
259,20261001,2.0221,2.4,,2.8,,,CARDIAC PACEMAKER DEVICE R
260,20261001,3.2528,5.5,,7.7,,,CARDIAC PACEMAKER REVISION
261,20261001,1.8905,2.8,,3.6,,,CARDIAC PACEMAKER REVISION
262,20261001,1.6299,2.1,,2.4,,,CARDIAC PACEMAKER REVISION
263,20261001,3.0574,4.7,,6.8,,,VEIN LIGATION AND STRIPPIN
264,20261001,3.3406,6.7,,9.7,Y,,OTHER CIRCULATORY SYSTEM O
265,20261001,3.6182,4.4,,6.3,,,AICD LEAD PROCEDURES
266,20261001,6.1284,2.5,,4.5,Y,Y,ENDOVASCULAR CARDIAC VALVE
267,20261001,4.7608,1.3,,1.5,Y,Y,ENDOVASCULAR CARDIAC VALVE
268,20261001,6.8779,6.1,,9.2,,,AORTIC AND HEART ASSIST PR
269,20261001,4.2232,1.5,,2.0,,,AORTIC AND HEART ASSIST PR
270,20261001,5.2763,6.3,,9.3,,,OTHER MAJOR CARDIOVASCULAR
271,20261001,3.5563,3.7,,5.0,,,OTHER MAJOR CARDIOVASCULAR
272,20261001,2.5530,1.7,,2.2,,,OTHER MAJOR CARDIOVASCULAR
273,20261001,4.1255,3.7,,5.6,,,PERCUTANEOUS AND OTHER INT
274,20261001,3.2917,1.2,,1.4,,,PERCUTANEOUS AND OTHER INT
275,20261001,7.1304,8.3,,10.3,,,CARDIAC DEFIBRILLATOR IMPL
276,20261001,6.0066,6.2,,8.1,Y,Y,CARDIAC DEFIBRILLATOR IMPL
277,20261001,4.6185,3.3,,4.1,Y,Y,CARDIAC DEFIBRILLATOR IMPL
278,20261001,5.5662,7.2,,10.4,,,ULTRASOUND ACCELERATED AND
279,20261001,3.6064,3.5,,5.0,,,ULTRASOUND ACCELERATED AND
280,20261001,1.6041,4.1,,5.3,Y,,ACUTE MYOCARDIAL INFARCTIO
281,20261001,0.9191,2.3,,2.9,Y,,ACUTE MYOCARDIAL INFARCTIO
282,20261001,0.7231,1.7,,2.0,Y,,ACUTE MYOCARDIAL INFARCTIO
283,20261001,1.9808,3.2,,5.3,,,ACUTE MYOCARDIAL INFARCTIO
284,20261001,0.6922,1.5,,2.0,,,ACUTE MYOCARDIAL INFARCTIO
285,20261001,0.5989,1.1,,1.3,,,ACUTE MYOCARDIAL INFARCTIO
286,20261001,2.2128,5.4,,7.2,,,CIRCULATORY DISORDERS EXCE
287,20261001,1.0701,2.1,,2.7,,,CIRCULATORY DISORDERS EXCE
288,20261001,2.7062,7.5,,9.7,Y,,ACUTE AND SUBACUTE ENDOCAR
289,20261001,1.7069,5.2,,6.4,Y,,ACUTE AND SUBACUTE ENDOCAR
290,20261001,0.9297,2.9,,3.5,Y,,ACUTE AND SUBACUTE ENDOCAR
291,20261001,1.2838,3.8,,5.0,Y,,HEART FAILURE AND SHOCK WI
292,20261001,0.8490,2.9,,3.7,Y,,HEART FAILURE AND SHOCK WI
293,20261001,0.5660,2.1,,2.5,Y,,HEART FAILURE AND SHOCK WI
296,20261001,1.5619,2.0,,3.2,,,"CARDIAC ARREST, UNEXPLAINE"
297,20261001,0.6340,1.3,,1.7,,,"CARDIAC ARREST, UNEXPLAINE"
298,20261001,0.4551,1.1,,1.2,,,"CARDIAC ARREST, UNEXPLAINE"
299,20261001,1.6327,3.9,,5.5,Y,,PERIPHERAL VASCULAR DISORD
300,20261001,1.0675,3.1,,3.9,Y,,PERIPHERAL VASCULAR DISORD
301,20261001,0.7197,2.0,,2.5,Y,,PERIPHERAL VASCULAR DISORD
302,20261001,1.1966,2.9,,4.0,,,ATHEROSCLEROSIS WITH MCC
303,20261001,0.6732,1.8,,2.3,,,ATHEROSCLEROSIS WITHOUT MC
304,20261001,1.1900,3.1,,4.1,,,HYPERTENSION WITH MCC
305,20261001,0.7551,2.1,,2.6,,,HYPERTENSION WITHOUT MCC
306,20261001,1.5758,3.8,,5.2,,,CARDIAC CONGENITAL AND VAL
307,20261001,0.9132,2.2,,2.8,,,CARDIAC CONGENITAL AND VAL
308,20261001,1.2040,3.4,,4.5,,,CARDIAC ARRHYTHMIA AND CON
309,20261001,0.7357,2.3,,2.8,,,CARDIAC ARRHYTHMIA AND CON
310,20261001,0.5661,1.8,,2.1,,,CARDIAC ARRHYTHMIA AND CON
311,20261001,0.7019,1.9,,2.4,,,ANGINA PECTORIS
312,20261001,0.8716,2.4,,3.1,,,SYNCOPE AND COLLAPSE
313,20261001,0.7200,1.7,,2.1,,,CHEST PAIN
314,20261001,2.0852,4.8,,6.7,Y,,OTHER CIRCULATORY SYSTEM D
315,20261001,0.9633,2.6,,3.4,Y,,OTHER CIRCULATORY SYSTEM D
316,20261001,0.6821,1.8,,2.2,Y,,OTHER CIRCULATORY SYSTEM D
317,20261001,6.6865,5.1,,7.1,,,CONCOMITANT LEFT ATRIAL AP
318,20261001,2.4222,2.7,,3.7,,,PERCUTANEOUS CORONARY ATHE
319,20261001,4.4629,7.4,,10.2,,,OTHER ENDOVASCULAR CARDIAC
320,20261001,2.4053,2.1,,3.0,,,OTHER ENDOVASCULAR CARDIAC
321,20261001,2.7208,3.7,,4.9,,,PERCUTANEOUS CARDIOVASCULA
322,20261001,1.7630,2.0,,2.3,,,PERCUTANEOUS CARDIOVASCULA
323,20261001,4.3274,4.5,,6.1,,,CORONARY INTRAVASCULAR LIT
324,20261001,3.1510,2.3,,2.9,,,CORONARY INTRAVASCULAR LIT
325,20261001,3.2104,2.8,,3.8,,,CORONARY INTRAVASCULAR LIT
326,20261001,4.9874,8.9,,12.3,Y,,"STOMACH, ESOPHAGEAL AND DU"
327,20261001,2.4442,3.9,,5.4,Y,,"STOMACH, ESOPHAGEAL AND DU"
328,20261001,1.6023,2.0,,2.5,Y,,"STOMACH, ESOPHAGEAL AND DU"
329,20261001,4.5965,9.4,,12.2,Y,,MAJOR SMALL AND LARGE BOWE
330,20261001,2.3972,4.8,,6.1,Y,,MAJOR SMALL AND LARGE BOWE
331,20261001,1.6829,2.7,,3.2,Y,,MAJOR SMALL AND LARGE BOWE
332,20261001,3.6207,6.4,,8.9,Y,,RECTAL RESECTION WITH MCC
333,20261001,2.3422,3.5,,4.5,Y,,RECTAL RESECTION WITH CC
334,20261001,1.6379,2.2,,2.6,Y,,RECTAL RESECTION WITHOUT C
335,20261001,3.5709,8.6,,10.7,Y,,PERITONEAL ADHESIOLYSIS WI
336,20261001,2.1087,5.1,,6.4,Y,,PERITONEAL ADHESIOLYSIS WI
337,20261001,1.5350,3.0,,3.8,Y,,PERITONEAL ADHESIOLYSIS WI
344,20261001,2.5828,6.9,,9.2,,,MINOR SMALL AND LARGE BOWE
345,20261001,1.5047,4.0,,5.2,,,MINOR SMALL AND LARGE BOWE
346,20261001,1.1862,2.6,,3.1,,,MINOR SMALL AND LARGE BOWE
347,20261001,2.2956,5.5,,7.3,,,ANAL AND STOMAL PROCEDURES
348,20261001,1.3088,3.1,,4.0,,,ANAL AND STOMAL PROCEDURES
349,20261001,0.8706,1.7,,2.0,,,ANAL AND STOMAL PROCEDURES
350,20261001,2.4919,4.8,,6.4,,,INGUINAL AND FEMORAL HERNI
351,20261001,1.5245,2.9,,3.6,,,INGUINAL AND FEMORAL HERNI
352,20261001,1.1678,1.9,,2.2,,,INGUINAL AND FEMORAL HERNI
353,20261001,2.9020,5.7,,7.7,,,HERNIA PROCEDURES EXCEPT I
354,20261001,1.6824,3.1,,4.0,,,HERNIA PROCEDURES EXCEPT I
355,20261001,1.3450,1.8,,2.2,,,HERNIA PROCEDURES EXCEPT I
356,20261001,4.3928,7.6,,10.2,Y,,OTHER DIGESTIVE SYSTEM O.R
357,20261001,2.3255,4.4,,5.7,Y,,OTHER DIGESTIVE SYSTEM O.R
358,20261001,1.3979,2.5,,3.2,Y,,OTHER DIGESTIVE SYSTEM O.R
359,20261001,3.4386,3.8,,5.3,,,PERCUTANEOUS CORONARY ATHE
360,20261001,2.4143,2.2,,2.6,,,PERCUTANEOUS CORONARY ATHE
368,20261001,1.5919,4.0,,5.3,,,MAJOR ESOPHAGEAL DISORDERS
369,20261001,1.0002,2.9,,3.5,,,MAJOR ESOPHAGEAL DISORDERS
370,20261001,0.7008,2.1,,2.6,,,MAJOR ESOPHAGEAL DISORDERS
371,20261001,1.7731,5.2,,6.9,Y,,MAJOR GASTROINTESTINAL DIS
372,20261001,1.0210,3.6,,4.4,Y,,MAJOR GASTROINTESTINAL DIS
373,20261001,0.7274,2.7,,3.3,Y,,MAJOR GASTROINTESTINAL DIS
374,20261001,2.1387,5.5,,7.6,Y,,DIGESTIVE MALIGNANCY WITH
375,20261001,1.2096,3.5,,4.5,Y,,DIGESTIVE MALIGNANCY WITH
376,20261001,0.9243,2.3,,3.0,Y,,DIGESTIVE MALIGNANCY WITHO
377,20261001,1.8280,4.5,,5.8,Y,,GASTROINTESTINAL HEMORRHAG
378,20261001,0.9807,2.9,,3.5,Y,,GASTROINTESTINAL HEMORRHAG
379,20261001,0.6304,2.0,,2.4,Y,,GASTROINTESTINAL HEMORRHAG
380,20261001,1.9622,5.1,,6.7,Y,,COMPLICATED PEPTIC ULCER W
381,20261001,1.0835,3.1,,3.8,Y,,COMPLICATED PEPTIC ULCER W
382,20261001,0.8006,2.4,,2.9,Y,,COMPLICATED PEPTIC ULCER W
383,20261001,1.3807,3.9,,5.1,,,UNCOMPLICATED PEPTIC ULCER
384,20261001,0.8548,2.4,,3.0,,,UNCOMPLICATED PEPTIC ULCER
385,20261001,1.5823,4.8,,6.5,,,INFLAMMATORY BOWEL DISEASE
386,20261001,0.9763,3.3,,4.2,,,INFLAMMATORY BOWEL DISEASE
387,20261001,0.6813,2.5,,3.1,,,INFLAMMATORY BOWEL DISEASE
388,20261001,1.4768,4.5,,6.0,Y,,GASTROINTESTINAL OBSTRUCTI
389,20261001,0.7898,2.9,,3.6,Y,,GASTROINTESTINAL OBSTRUCTI
390,20261001,0.5440,2.2,,2.6,Y,,GASTROINTESTINAL OBSTRUCTI
391,20261001,1.2683,3.8,,5.1,,,"ESOPHAGITIS, GASTROENTERIT"
392,20261001,0.7796,2.5,,3.2,,,"ESOPHAGITIS, GASTROENTERIT"
393,20261001,1.5993,4.2,,5.9,,,OTHER DIGESTIVE SYSTEM DIA
394,20261001,0.9357,2.9,,3.7,,,OTHER DIGESTIVE SYSTEM DIA
395,20261001,0.6490,2.0,,2.5,,,OTHER DIGESTIVE SYSTEM DIA
397,20261001,2.3949,4.8,,6.5,,,APPENDIX PROCEDURES WITH M
398,20261001,1.5136,2.9,,3.8,,,APPENDIX PROCEDURES WITH C
