county,adjustmentFactor,startDate
27147,0.0523,20181001
27169,0.0069,20181001
28085,0.0204,20181001
28107,0.0130,20181001
28109,0.0320,20181001
28129,0.0121,20181001
29007,0.0058,20181001
29101,0.0462,20181001
29105,0.0037,20181001
29127,0.0179,20181001
29147,0.0256,20181001
29175,0.0200,20181001
29187,0.0116,20181001
29213,0.0039,20181001
31053,0.0182,20181001
33011,0.0203,20181001
33015,0.0325,20181001
34007,0.0082,20181001
34009,0.0316,20181001
34011,0.0131,20181001
34013,0.0371,20181001
34021,0.0242,20181001
34027,0.0276,20181001
35039,0.0619,20181001
35047,0.0548,20181001
36009,0.0257,20181001
36011,0.0272,20181001
36021,0.0624,20181001
36023,0.0196,20181001
36079,0.1062,20181001
36081,0.0060,20181001
36091,0.0005,20181001
36105,0.1224,20181001
36111,0.1040,20181001
36121,0.0263,20181001
37001,0.0679,20181001
37007,0.0340,20181001
37013,0.0539,20181001
37031,0.0078,20181001
37035,0.0093,20181001
37045,0.0203,20181001
37047,0.0052,20181001
37077,0.0943,20181001
37083,0.0196,20181001
37085,0.0336,20181001
37105,0.0329,20181001
37107,0.0164,20181001
37125,0.0142,20181001
37155,0.0061,20181001
37163,0.0188,20181001
37183,0.0111,20181001
37195,0.0341,20181001
39007,0.0260,20181001
39011,0.0467,20181001
39023,0.0187,20181001
39027,0.0228,20181001
39029,0.0058,20181001
39031,0.0275,20181001
39037,0.0221,20181001
39043,0.0202,20181001
39063,0.0148,20181001
39077,0.0123,20181001
39081,0.0047,20181001
39083,0.0600,20181001
39091,0.0333,20181001
39101,0.0351,20181001
39143,0.0104,20181001
39149,0.0253,20181001
39151,0.0041,20181001
39153,0.0137,20181001
39155,0.0065,20181001
39157,0.0026,20181001
39161,0.0055,20181001
39169,0.0137,20181001
40013,0.0319,20181001
40035,0.0017,20181001
40041,0.0126,20181001
40049,0.0213,20181001
40075,0.0050,20181001
40091,0.0035,20181001
40097,0.0030,20181001
40101,0.0117,20181001
40125,0.0396,20181001
40137,0.0029,20181001
40147,0.0116,20181001
41003,0.0028,20181001
41033,0.0016,20181001
41043,0.0138,20181001
41047,0.0090,20181001
42009,0.0572,20181001
42011,0.0058,20181001
42015,0.0129,20181001
42021,0.0188,20181001
42029,0.0296,20181001
42033,0.0456,20181001
42035,0.0352,20181001
42059,0.0084,20181001
42061,0.0531,20181001
42063,0.0135,20181001
42071,0.0100,20181001
42073,0.0119,20181001
42089,0.1094,20181001
42091,0.0392,20181001
42095,0.0286,20181001
42097,0.0763,20181001
42107,0.0522,20181001
42117,0.0172,20181001
42119,0.0297,20181001
42127,0.0422,20181001
42133,0.0015,20181001
45021,0.0124,20181001
45029,0.0120,20181001
45043,0.0050,20181001
45053,0.0011,20181001
45071,0.0049,20181001
45073,0.0236,20181001
45075,0.0040,20181001
45083,0.0130,20181001
45085,0.0044,20181001
47003,0.0714,20181001
47011,0.0217,20181001
47017,0.0073,20181001
47031,0.0204,20181001
47053,0.0174,20181001
47055,0.0639,20181001
47069,0.0475,20181001
47075,0.0684,20181001
47077,0.0164,20181001
47089,0.0041,20181001
47099,0.1064,20181001
47107,0.0054,20181001
47109,0.0024,20181001
47125,0.0634,20181001
47163,0.0015,20181001
47177,0.0240,20181001
47183,0.0066,20181001
48001,0.0058,20181001
48025,0.0190,20181001
48035,0.0188,20181001
48053,0.0183,20181001
48091,0.0134,20181001
48097,0.0704,20181001
48123,0.0134,20181001
48181,0.0315,20181001
48189,0.0099,20181001
48203,0.0164,20181001
48213,0.0376,20181001
48217,0.0415,20181001
48223,0.0308,20181001
48241,0.0094,20181001
48273,0.0161,20181001
48293,0.0097,20181001
48329,0.0009,20181001
48331,0.0445,20181001
48337,0.0574,20181001
48353,0.0032,20181001
48363,0.0550,20181001
48365,0.0185,20181001
48439,0.0089,20181001
