cbsa,effectiveDate,geographicWageIndex,name,,,,,,
24860,20260101,0.9137,"Greenville-Anderson-Greer, SC",,,,,,
25020,20260101,0.3819,"Guayama, PR",,,,,,
25060,20260101,0.7667,"Gulfport-Biloxi, MS",,,,,,
25180,20260101,0.9109,"Hagerstown-Martinsburg, MD-WV",,,,,,
25220,20260101,0.7346,"Hammond, LA",,,,,,
25260,20260101,1.1706,"Hanford-Corcoran, CA",,,,,,
25420,20260101,1.0055,"Harrisburg-Carlisle, PA",,,,,,
25500,20260101,0.9814,"Harrisonburg, VA",,,,,,
25540,20260101,1.0547,"Hartford-West Hartford-East Hartford, CT",,,,,,
25620,20260101,0.6992,"Hattiesburg, MS",,,,,,
25740,20260101,0.7705,"Helena, MT",,,,,,
25860,20260101,0.8531,"Hickory-Lenoir-Morganton, NC",,,,,,
25940,20260101,0.7642,"Hilton Head Island-Bluffton-Port Royal, SC",,,,,,
25980,20260101,0.8779,"Hinesville, GA",,,,,,
26140,20260101,0.8569,"Homosassa Springs, FL",,,,,,
26300,20260101,0.8608,"Hot Springs, AR",,,,,,
26380,20260101,0.6960,"Houma-Bayou Cane-Thibodaux, LA",,,,,,
26420,20260101,0.9729,"Houston-Pasadena-The Woodlands, TX",,,,,,
26580,20260101,0.8981,"Huntington-Ashland, WV-KY-OH",,,,,,
26620,20260101,0.8106,"Huntsville, AL",,,,,,
26820,20260101,0.8009,"Idaho Falls, ID",,,,,,
26900,20260101,1.0022,"Indianapolis-Carmel-Greenwood, IN",,,,,,
26980,20260101,0.8757,"Iowa City, IA",,,,,,
27060,20260101,0.9457,"Ithaca, NY",,,,,,
27100,20260101,0.8349,"Jackson, MI",,,,,,
27140,20260101,0.8493,"Jackson, MS",,,,,,
27180,20260101,0.7033,"Jackson, TN",,,,,,
27260,20260101,0.8753,"Jacksonville, FL",,,,,,
27340,20260101,0.7424,"Jacksonville, NC",,,,,,
27500,20260101,0.8802,"Janesville-Beloit, WI",,,,,,
27620,20260101,0.8018,"Jefferson City, MO",,,,,,
27740,20260101,0.8080,"Johnson City, TN",,,,,,
27780,20260101,0.7921,"Johnstown, PA",,,,,,
27860,20260101,0.8199,"Jonesboro, AR",,,,,,
27900,20260101,0.7358,"Joplin, MO-KS",,,,,,
27980,20260101,1.0277,"Kahului-Wailuku, HI",,,,,,
28020,20260101,0.8683,"Kalamazoo-Portage, MI",,,,,,
28100,20260101,0.8798,"Kankakee, IL",,,,,,
28140,20260101,0.9054,"Kansas City, MO-KS",,,,,,
28420,20260101,0.9518,"Kennewick-Richland, WA",,,,,,
28450,20260101,0.8905,"Kenosha, WI",,,,,,
28660,20260101,0.9463,"Killeen-Temple, TX",,,,,,
28700,20260101,0.8108,"Kingsport-Bristol, TN-VA",,,,,,
28740,20260101,1.0532,"Kingston, NY",,,,,,
28880,20260101,1.1720,"Kiryas Joel-Poughkeepsie-Newburgh, NY",,,,,,
28940,20260101,0.7364,"Knoxville, TN",,,,,,
29020,20260101,0.9774,"Kokomo, IN",,,,,,
29100,20260101,0.9746,"La Crosse-Onalaska, WI-MN",,,,,,
29180,20260101,0.8153,"Lafayette, LA",,,,,,
29200,20260101,1.0090,"Lafayette-West Lafayette, IN",,,,,,
29340,20260101,0.8177,"Lake Charles, LA",,,,,,
29404,20260101,0.9978,"Lake County, IL",,,,,,
29414,20260101,0.8933,"Lake County-Porter County-Jasper County, IN",,,,,,
29420,20260101,0.9044,"Lake Havasu City-Kingman, AZ",,,,,,
29460,20260101,0.8715,"Lakeland-Winter Haven, FL",,,,,,
29484,20260101,1.1274,"Lakewood-New Brunswick, NJ",,,,,,
29540,20260101,0.8644,"Lancaster, PA",,,,,,
29620,20260101,0.9002,"Lansing-East Lansing, MI",,,,,,
29700,20260101,0.8111,"Laredo, TX",,,,,,
29740,20260101,0.8548,"Las Cruces, NM",,,,,,
29820,20260101,1.0884,"Las Vegas-Henderson-North Las Vegas, NV",,,,,,
29940,20260101,0.8785,"Lawrence, KS",,,,,,
30020,20260101,0.7601,"Lawton, OK",,,,,,
30140,20260101,1.0038,"Lebanon, PA",,,,,,
30300,20260101,0.8985,"Lewiston, ID-WA",,,,,,
30340,20260101,0.8638,"Lewiston-Auburn, ME",,,,,,
30460,20260101,0.9449,"Lexington-Fayette, KY",,,,,,
30500,20260101,0.9270,"Lexington Park, MD",,,,,,
30620,20260101,0.8954,"Lima, OH",,,,,,
30700,20260101,1.0231,"Lincoln, NE",,,,,,
30780,20260101,0.8807,"Little Rock-North Little Rock-Conway, AR",,,,,,
30860,20260101,0.9470,"Logan, UT-ID",,,,,,
30980,20260101,0.9072,"Longview, TX",,,,,,
31020,20260101,1.1397,"Longview-Kelso, WA",,,,,,
31084,20260101,1.2699,"Los Angeles-Long Beach-Glendale, CA",,,,,,
31140,20260101,0.9145,"Louisville/Jefferson County, KY-IN",,,,,,
31180,20260101,0.8593,"Lubbock, TX",,,,,,
31340,20260101,0.8969,"Lynchburg, VA",,,,,,
31420,20260101,0.8256,"Macon-Bibb County, GA",,,,,,
31540,20260101,0.9437,"Madison, WI",,,,,,
31700,20260101,0.9831,"Manchester-Nashua, NH",,,,,,
31740,20260101,0.8194,"Manhattan, KS",,,,,,
31860,20260101,1.1112,"Mankato, MN",,,,,,
31900,20260101,0.9632,"Mansfield, OH",,,,,,
31924,20260101,1.0154,"Marietta, GA",,,,,,
32420,20260101,0.3408,"Mayagüez, PR",,,,,,
32580,20260101,0.7661,"McAllen-Edinburg-Mission, TX",,,,,,
32780,20260101,1.2446,"Medford, OR",,,,,,
32820,20260101,0.8676,"Memphis, TN-MS-AR",,,,,,
32900,20260101,1.2866,"Merced, CA",,,,,,
33124,20260101,0.9669,"Miami-Miami Beach-Kendall, FL",,,,,,
33140,20260101,0.9278,"Michigan City-La Porte, IN",,,,,,
33220,20260101,0.9233,"Midland, MI",,,,,,
33260,20260101,0.9018,"Midland, TX",,,,,,
33340,20260101,0.9679,"Milwaukee-Waukesha, WI",,,,,,
33460,20260101,1.0849,"Minneapolis-St. Paul-Bloomington, MN-WI",,,,,,
33500,20260101,0.8047,"Minot, ND",,,,,,
33540,20260101,0.9325,"Missoula, MT",,,,,,
33660,20260101,0.8153,"Mobile, AL",,,,,,
33700,20260101,1.2476,"Modesto, CA",,,,,,
33740,20260101,0.7955,"Monroe, LA",,,,,,
33780,20260101,0.9435,"Monroe, MI",,,,,,
33860,20260101,0.8051,"Montgomery, AL",,,,,,
33874,20260101,0.9618,"Montgomery County-Bucks County-Chester County, PA",,,,,,
34060,20260101,0.8094,"Morgantown, WV",,,,,,
34100,20260101,0.6922,"Morristown, TN",,,,,,
34580,20260101,0.9453,"Mount Vernon-Anacortes, WA",,,,,,
34620,20260101,0.9820,"Muncie, IN",,,,,,
34740,20260101,0.8632,"Muskegon-Norton Shores, MI",,,,,,
34820,20260101,0.8008,"Myrtle Beach-Conway-North Myrtle Beach, SC",,,,,,
34900,20260101,1.4679,"Napa, CA",,,,,,
34940,20260101,0.9223,"Naples-Marco Island, FL",,,,,,
34980,20260101,0.9080,"Nashville-Davidson--Murfreesboro--Franklin, TN",,,,,,
35004,20260101,1.2365,"Nassau County-Suffolk County, NY",,,,,,
35084,20260101,1.1000,"Newark, NJ",,,,,,
35300,20260101,1.1148,"New Haven, CT",,,,,,
35380,20260101,0.8545,"New Orleans-Metairie, LA",,,,,,
35614,20260101,1.2951,"New York-Jersey City-White Plains, NY-NJ",,,,,,
35660,20260101,0.8907,"Niles, MI",,,,,,
35840,20260101,0.9439,"North Port-Bradenton-Sarasota, FL",,,,,,
35980,20260101,1.0563,"Norwich-New London-Willimantic, CT",,,,,,
36084,20260101,1.7434,"Oakland-Fremont-Berkeley, CA",,,,,,
36100,20260101,0.8715,"Ocala, FL",,,,,,
36220,20260101,0.8702,"Odessa, TX",,,,,,
36260,20260101,0.9270,"Ogden, UT",,,,,,
36420,20260101,0.8721,"Oklahoma City, OK",,,,,,
36500,20260101,1.1329,"Olympia-Lacey-Tumwater, WA",,,,,,
36540,20260101,1.0402,"Omaha, NE-IA",,,,,,
36740,20260101,0.9674,"Orlando-Kissimmee-Sanford, FL",,,,,,
36780,20260101,0.9411,"Oshkosh-Neenah, WI",,,,,,
36980,20260101,0.9018,"Owensboro, KY",,,,,,
37100,20260101,1.2548,"Oxnard-Thousand Oaks-Ventura, CA",,,,,,
37140,20260101,0.8638,"Paducah, KY-IL",,,,,,
37340,20260101,0.9484,"Palm Bay-Melbourne-Titusville, FL",,,,,,
37460,20260101,0.8568,"Panama City-Panama City Beach, FL",,,,,,
37620,20260101,0.8027,"Parkersburg-Vienna, WV",,,,,,
37860,20260101,0.8065,"Pensacola-Ferry Pass-Brent, FL",,,,,,
37900,20260101,0.8900,"Peoria, IL",,,,,,
37964,20260101,1.0364,"Philadelphia, PA",,,,,,
38060,20260101,1.0117,"Phoenix-Mesa-Chandler, AZ",,,,,,
38240,20260101,0.8222,"Pinehurst-Southern Pines, NC",,,,,,
38300,20260101,0.8463,"Pittsburgh, PA",,,,,,
38340,20260101,0.9948,"Pittsfield, MA",,,,,,
38540,20260101,0.8799,"Pocatello, ID",,,,,,
38660,20260101,0.3287,"Ponce, PR",,,,,,
38860,20260101,0.9983,"Portland-South Portland, ME",,,,,,
38900,20260101,1.1783,"Portland-Vancouver-Hillsboro, OR-WA",,,,,,
38940,20260101,0.9145,"Port St. Lucie, FL",,,,,,
39150,20260101,0.9986,"Prescott Valley-Prescott, AZ",,,,,,
39300,20260101,1.0040,"Providence-Warwick, RI-MA",,,,,,
39340,20260101,0.9617,"Provo-Orem-Lehi, UT",,,,,,
39380,20260101,0.9580,"Pueblo, CO",,,,,,
39460,20260101,0.8793,"Punta Gorda, FL",,,,,,
39540,20260101,0.9708,"Racine-Mount Pleasant, WI",,,,,,
39580,20260101,0.9855,"Raleigh-Cary, NC",,,,,,
39660,20260101,0.8843,"Rapid City, SD",,,,,,
39740,20260101,1.0205,"Reading, PA",,,,,,
39820,20260101,1.3850,"Redding, CA",,,,,,
39900,20260101,0.9373,"Reno, NV",,,,,,
40060,20260101,0.8995,"Richmond, VA",,,,,,
40140,20260101,1.1740,"Riverside-San Bernardino-Ontario, CA",,,,,,
40220,20260101,0.8569,"Roanoke, VA",,,,,,
40340,20260101,1.1304,"Rochester, MN",,,,,,
40380,20260101,0.9499,"Rochester, NY",,,,,,
40420,20260101,0.9202,"Rockford, IL",,,,,,
40484,20260101,1.0021,"Rockingham County-Strafford County, NH",,,,,,
40580,20260101,0.8712,"Rocky Mount, NC",,,,,,
40660,20260101,1.0373,"Rome, GA",,,,,,
40900,20260101,1.5630,"Sacramento-Roseville-Folsom, CA",,,,,,
40980,20260101,0.8579,"Saginaw, MI",,,,,,
41060,20260101,0.9221,"St. Cloud, MN",,,,,,
41100,20260101,0.9998,"St. George, UT",,,,,,
41140,20260101,0.8247,"St. Joseph, MO-KS",,,,,,
41180,20260101,0.9734,"St. Louis, MO-IL",,,,,,
41304,20260101,0.8805,"St. Petersburg-Clearwater-Largo, FL",,,,,,
41420,20260101,1.1119,"Salem, OR",,,,,,
41500,20260101,1.7074,"Salinas, CA",,,,,,
41540,20260101,0.8319,"Salisbury, MD",,,,,,
41620,20260101,0.9598,"Salt Lake City-Murray, UT",,,,,,
41660,20260101,0.8774,"San Angelo, TX",,,,,,
41700,20260101,0.8526,"San Antonio-New Braunfels, TX",,,,,,
41740,20260101,1.2301,"San Diego-Chula Vista-Carlsbad, CA",,,,,,
41780,20260101,0.7940,"Sandusky, OH",,,,,,
41884,20260101,1.7522,"San Francisco-San Mateo-Redwood City, CA",,,,,,
41940,20260101,1.8317,"San Jose-Sunnyvale-Santa Clara, CA",,,,,,
41980,20260101,0.3589,"San Juan-Bayamón-Caguas, PR",,,,,,
42020,20260101,1.2790,"San Luis Obispo-Paso Robles, CA",,,,,,
42034,20260101,1.6942,"San Rafael, CA",,,,,,
42100,20260101,1.7061,"Santa Cruz-Watsonville, CA",,,,,,
42140,20260101,1.0201,"Santa Fe, NM",,,,,,
42200,20260101,1.3137,"Santa Maria-Santa Barbara, CA",,,,,,
42220,20260101,1.6480,"Santa Rosa-Petaluma, CA",,,,,,
42340,20260101,0.8220,"Savannah, GA",,,,,,
42540,20260101,0.8797,"Scranton--Wilkes-Barre, PA",,,,,,
42644,20260101,1.2566,"Seattle-Bellevue-Kent, WA",,,,,,
42680,20260101,1.0152,"Sebastian-Vero Beach-West Vero Corridor, FL",,,,,,
42700,20260101,0.9382,"Sebring, FL",,,,,,
43100,20260101,0.9382,"Sheboygan, WI",,,,,,
43300,20260101,0.8258,"Sherman-Denison, TX",,,,,,
43340,20260101,0.8149,"Shreveport-Bossier City, LA",,,,,,
43420,20260101,0.8294,"Sierra Vista-Douglas, AZ",,,,,,
43580,20260101,0.8657,"Sioux City, IA-NE-SD",,,,,,
43620,20260101,0.7942,"Sioux Falls, SD-MN",,,,,,
43640,20260101,0.8210,"Slidell-Mandeville-Covington, LA",,,,,,
43780,20260101,0.9670,"South Bend-Mishawaka, IN-MI",,,,,,
43900,20260101,0.8368,"Spartanburg, SC",,,,,,
44060,20260101,1.1032,"Spokane-Spokane Valley, WA",,,,,,
44100,20260101,0.9599,"Springfield, IL",,,,,,
44140,20260101,0.9905,"Springfield, MA",,,,,,
44180,20260101,0.7952,"Springfield, MO",,,,,,
44220,20260101,0.9114,"Springfield, OH",,,,,,
44300,20260101,1.1283,"State College, PA",,,,,,
44420,20260101,0.8633,"Staunton-Stuarts Draft, VA",,,,,,
44700,20260101,1.5112,"Stockton-Lodi, CA",,,,,,
44940,20260101,0.8921,"Sumter, SC",,,,,,
45060,20260101,1.0186,"Syracuse, NY",,,,,,
45104,20260101,1.2721,"Tacoma-Lakewood, WA",,,,,,
45220,20260101,0.7398,"Tallahassee, FL",,,,,,
45294,20260101,0.8981,"Tampa, FL",,,,,,
45460,20260101,0.9159,"Terre Haute, IN",,,,,,
45500,20260101,0.9474,"Texarkana, TX-AR",,,,,,
45780,20260101,0.8907,"Toledo, OH",,,,,,
45820,20260101,0.8196,"Topeka, KS",,,,,,
45900,20260101,0.8413,"Traverse City, MI",,,,,,
45940,20260101,1.0307,"Trenton-Princeton, NJ",,,,,,
46060,20260101,0.8886,"Tucson, AZ",,,,,,
46140,20260101,0.8448,"Tulsa, OK",,,,,,
46220,20260101,0.9162,"Tuscaloosa, AL",,,,,,
46300,20260101,0.9347,"Twin Falls, ID",,,,,,
46340,20260101,0.9099,"Tyler, TX",,,,,,
46520,20260101,1.1821,"Urban Honolulu, HI",,,,,,
46540,20260101,0.9113,"Utica-Rome, NY",,,,,,
46660,20260101,0.7031,"Valdosta, GA",,,,,,
46700,20260101,1.8147,"Vallejo, CA",,,,,,
47020,20260101,0.8505,"Victoria, TX",,,,,,
