apc,statusIndicator,effectiveDate,paymentRate,nationalCoinsurance,minimumCoinsurance
09343,K,20250101,000112.14,00022.43,00022.43
09345,K,20250101,000346.76,00069.36,00069.36
09346,K,20250101,000011.35,00002.27,00002.27
09347,K,20250101,000040.62,00008.13,00008.13
09348,K,20250101,000023.59,00004.72,00004.72
09349,K,20250101,000060.44,00012.09,00012.09
09350,K,20250101,000019.17,00003.84,00003.84
09351,K,20250101,000209.86,00041.98,00041.98
09353,K,20250101,000027.81,00005.57,00005.57
09354,K,20250101,000002.17,00000.44,00000.44
09355,K,20250101,000343.89,00068.78,00068.78
09357,K,20250101,000018.69,00003.74,00003.74
09358,G,20250101,000048.40,00009.68,00009.68
09359,K,20250101,000128.54,00025.71,00025.71
09361,K,20250101,000014.87,00002.98,00002.98
09362,K,20250101,000002.51,00000.51,00000.51
09364,K,20250101,000036.74,00007.35,00007.35
09366,K,20250101,000007.41,00001.49,00001.49
09367,K,20250101,000022.44,00004.49,00004.49
09370,K,20250101,000498.67,00099.74,00099.74
09372,K,20250101,000014.30,00002.86,00002.86
09374,K,20250101,000307.34,00061.47,00061.47
09375,K,20250101,000017.35,00003.48,00003.48
09376,K,20250101,000034.67,00006.94,00006.94
09377,K,20250101,000078.05,00015.61,00015.61
09378,K,20250101,000051.41,00010.29,00010.29
09381,K,20250101,000021.29,00004.26,00004.26
09382,K,20250101,000034.17,00006.84,00006.84
09383,K,20250101,000595.10,00119.02,00119.02
09384,K,20250101,000046.78,00009.36,00009.36
09385,K,20250101,000013.71,00002.75,00002.75
09387,K,20250101,000040.28,00008.06,00008.06
09388,K,20250101,000021.05,00004.22,00004.22
09389,K,20250101,000203.60,00040.73,00040.73
09390,K,20250101,000064.58,00012.92,00012.92
09391,K,20250101,460530.40,92106.09,92106.09
09392,K,20250101,000491.40,00098.29,00098.29
09394,K,20250101,000484.40,00096.89,00096.89
09396,K,20250101,002873.33,00574.67,00574.67
09398,S,20250101,000041.52,00000.00,00000.00
09399,S,20250101,000036.85,00000.00,00000.00
09406,K,20250101,000096.55,00019.31,00019.31
09407,K,20250101,000317.88,00063.58,00063.58
