cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,name,imputedFloorWageIndex,ruralFloorWageIndex,size
23420,20211001,1.0729,0.0000,"Fresno, CA",,,
23460,20211001,0.7997,0.0000,"Gadsden, AL",,,
23540,20211001,0.8914,0.0000,"Gainesville, FL",,,
23580,20211001,0.9400,0.0000,"Gainesville, GA",,,
23844,20211001,0.9304,0.0000,"Gary, IN",,,
23900,20211001,1.0477,0.0000,"Gettysburg, PA",,,
24020,20211001,0.8000,0.0000,"Glens Falls, NY",,,
24140,20211001,0.9473,0.0000,"Goldsboro, NC",,,
24220,20211001,0.8356,0.0000,"Grand Forks, ND-MN",,,
24260,20211001,0.9589,0.0000,"Grand Island, NE",,,
24300,20211001,0.9157,0.0000,"Grand Junction, CO",,,
24340,20211001,0.8942,0.0000,"Grand Rapids-Kentwood, MI",,,
24420,20211001,1.0509,0.0000,"Grants Pass, OR",,,
24500,20211001,0.8147,0.0000,"Great Falls, MT",,,
24540,20211001,0.8945,0.0000,"Greeley, CO",,,
24580,20211001,0.9276,0.0000,"Green Bay, WI",,,
24660,20211001,0.8949,0.0000,"Greensboro-High Point, NC",,,
24780,20211001,0.9033,0.0000,"Greenville, NC",,,
24860,20211001,0.8839,0.0000,"Greenville-Anderson-Mauldin, SC",,,
25020,20211001,0.4752,0.0000,"Guayama, PR",,,
25060,20211001,0.8000,0.0000,"Gulfport-Biloxi, MS",,,
25180,20211001,0.8678,0.0000,"Hagerstown-Martinsburg, MD-WV",,,
25220,20211001,0.8025,0.0000,"Hammond, LA",,,
25260,20211001,1.0531,0.0000,"Hanford-Corcoran, CA",,,
25420,20211001,0.9620,0.0000,"Harrisburg-Carlisle, PA",,,
25500,20211001,0.9377,0.0000,"Harrisonburg, VA",,,
25540,20211001,1.0924,0.0000,"Hartford-West Hartford-East Hartford, CT",,,
25620,20211001,0.8000,0.0000,"Hattiesburg, MS",,,
25860,20211001,0.8528,0.0000,"Hickory-Lenoir-Morganton, NC",,,
25940,20211001,0.8132,0.0000,"Hilton Head Island-Bluffton-Beaufort, SC",,,
25980,20211001,0.8635,0.0000,"Hinesville-Fort Stewart, GA",,,
26140,20211001,0.8618,0.0000,"Homosassa Springs, FL",,,
26300,20211001,0.8261,0.0000,"Hot Springs, AR",,,
26380,20211001,0.7898,0.0000,"Houma-Thibodaux, LA",,,
26420,20211001,0.9925,0.0000,"Houston-The Woodlands-Sugar Land, TX",,,
26580,20211001,0.8482,0.0000,"Huntington-Ashland, WV-KY-OH",,,
26620,20211001,0.8055,0.0000,"Huntsville, AL",,,
26820,20211001,0.8420,0.0000,"Idaho Falls, ID",,,
26900,20211001,0.9807,0.0000,"Indianapolis-Carmel-Anderson, IN",,,
26980,20211001,0.9480,0.0000,"Iowa City, IA",,,
27060,20211001,1.0862,0.0000,"Ithaca, NY",,,
27100,20211001,0.8000,0.0000,"Jackson, MI",,,
27140,20211001,0.8351,0.0000,"Jackson, MS",,,
27180,20211001,0.8000,0.0000,"Jackson, TN",,,
27260,20211001,0.8390,0.0000,"Jacksonville, FL",,,
27340,20211001,0.8000,0.0000,"Jacksonville, NC",,,
27500,20211001,0.9039,0.0000,"Janesville-Beloit, WI",,,
27620,20211001,0.8076,0.0000,"Jefferson City, MO",,,
27740,20211001,0.8000,0.0000,"Johnson City, TN",,,
27780,20211001,0.8000,0.0000,"Johnstown, PA",,,
27860,20211001,0.8000,0.0000,"Jonesboro, AR",,,
27900,20211001,0.8000,0.0000,"Joplin, MO",,,
27980,20211001,1.2272,0.0000,"Kahului-Wailuku-Lahaina, HI",,,
28020,20211001,0.9331,0.0000,"Kalamazoo-Portage, MI",,,
28100,20211001,0.8914,0.0000,"Kankakee, IL",,,
28140,20211001,0.9237,0.0000,"Kansas City, MO-KS",,,
28420,20211001,0.9897,0.0000,"Kennewick-Richland, WA",,,
28660,20211001,0.9282,0.0000,"Killeen-Temple, TX",,,
28700,20211001,0.8000,0.0000,"Kingsport-Bristol-Bristol, TN-VA",,,
28740,20211001,0.9708,0.0000,"Kingston, NY",,,
28940,20211001,0.8000,0.0000,"Knoxville, TN",,,
29020,20211001,0.9647,0.0000,"Kokomo, IN",,,
29100,20211001,0.9411,0.0000,"La Crosse-Onalaska, WI-MN",,,
29180,20211001,0.8000,0.0000,"Lafayette, LA",,,
29200,20211001,0.9991,0.0000,"Lafayette-West Lafayette, IN",,,
29340,20211001,0.8000,0.0000,"Lake Charles, LA",,,
29404,20211001,1.0047,0.0000,"Lake County-Kenosha County, IL-WI",,,
29420,20211001,0.9194,0.0000,"Lake Havasu City-Kingman, AZ",,,
29460,20211001,0.8014,0.0000,"Lakeland-Winter Haven, FL",,,
29540,20211001,0.9185,0.0000,"Lancaster, PA",,,
29620,20211001,0.9359,0.0000,"Lansing-East Lansing, MI",,,
29700,20211001,0.8000,0.0000,"Laredo, TX",,,
29740,20211001,0.9164,0.0000,"Las Cruces, NM",,,
29820,20211001,1.1733,0.0000,"Las Vegas-Henderson-Paradise, NV",,,
29940,20211001,0.8749,0.0000,"Lawrence, KS",,,
30020,20211001,0.8000,0.0000,"Lawton, OK",,,
30140,20211001,0.9731,0.0000,"Lebanon, PA",,,
30300,20211001,0.8635,0.0000,"Lewiston, ID-WA",,,
30340,20211001,0.8667,0.0000,"Lewiston-Auburn, ME",,,
30460,20211001,0.8755,0.0000,"Lexington-Fayette, KY",,,
30620,20211001,0.8291,0.0000,"Lima, OH",,,
30700,20211001,0.9903,0.0000,"Lincoln, NE",,,
30780,20211001,0.8220,0.0000,"Little Rock-North Little Rock-Conway, AR",,,
30860,20211001,0.9417,0.0000,"Logan, UT-ID",,,
30980,20211001,0.8618,0.0000,"Longview, TX",,,
31020,20211001,1.0954,0.0000,"Longview, WA",,,
31084,20211001,1.3046,0.0000,"Los Angeles-Long Beach-Glendale, CA",,,
31140,20211001,0.8695,0.0000,"Louisville/Jefferson County, KY-IN",,,
31180,20211001,0.8368,0.0000,"Lubbock, TX",,,
31340,20211001,0.8863,0.0000,"Lynchburg, VA",,,
31420,20211001,0.8869,0.0000,"Macon-Bibb County, GA",,,
31460,20211001,0.8000,0.0000,"Madera, CA",,,
31540,20211001,1.0294,0.0000,"Madison, WI",,,
31700,20211001,0.9538,0.0000,"Manchester-Nashua, NH",,,
31740,20211001,0.8538,0.0000,"Manhattan, KS",,,
31860,20211001,1.0473,0.0000,"Mankato-North Mankato, MN",,,
31900,20211001,0.8887,0.0000,"Mansfield, OH",,,
32420,20211001,0.4215,0.0000,"Mayaguez, PR",,,
32580,20211001,0.8000,0.0000,"McAllen-Edinburg-Mission, TX",,,
32780,20211001,1.0922,0.0000,"Medford, OR",,,
32820,20211001,0.8500,0.0000,"Memphis, TN-MS-AR",,,
32900,20211001,1.3349,0.0000,"Merced, CA",,,
33124,20211001,0.9415,0.0000,"Miami-Miami Beach-Kendall, FL",,,
33140,20211001,0.9344,0.0000,"Michigan City-La Porte, IN",,,
33220,20211001,0.8779,0.0000,"Midland, MI",,,
33260,20211001,0.8366,0.0000,"Midland, TX",,,
33340,20211001,0.9697,0.0000,"Milwaukee-Waukesha-West Allis, WI",,,
33460,20211001,1.0959,0.0000,"Minneapolis-St. Paul-Bloomington, MN-WI",,,
33540,20211001,0.9265,0.0000,"Missoula, MT",,,
33660,20211001,0.8000,0.0000,"Mobile, AL",,,
33700,20211001,1.3467,0.0000,"Modesto, CA",,,
33740,20211001,0.8000,0.0000,"Monroe, LA",,,
33780,20211001,0.8710,0.0000,"Monroe, MI",,,
33860,20211001,0.8000,0.0000,"Montgomery, AL",,,
33874,20211001,0.9914,0.0000,"Montgomery County-Bucks County-Chester County, PA",,,
34060,20211001,0.8000,0.0000,"Morgantown, WV",,,
34100,20211001,0.7874,0.0000,"Morristown, TN",,,
34580,20211001,0.9918,0.0000,"Mount Vernon-Anacortes, WA",,,
34620,20211001,0.9761,0.0000,"Muncie, IN",,,
34740,20211001,0.8882,0.0000,"Muskegon, MI",,,
34820,20211001,0.8560,0.0000,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",,,
34900,20211001,1.5514,0.0000,"Napa, CA",,,
34940,20211001,0.8856,0.0000,"Naples-Immokalee-Marco Island, FL",,,
34980,20211001,0.8721,0.0000,"Nashville-Davidson--Murfreesboro--Franklin, TN",,,
35004,20211001,1.2844,0.0000,"Nassau County-Suffolk County, NY",,,
35084,20211001,1.0890,0.0000,"Newark, NJ-PA",,,
35100,20211001,0.8224,0.0000,"New Bern, NC",,,
35154,20211001,1.0578,0.0000,"New Brunswick-Lakewood, NJ",,,
35300,20211001,1.1389,0.0000,"New Haven-Milford, CT",,,
35380,20211001,0.8300,0.0000,"New Orleans-Metairie, LA",,,
35614,20211001,1.3388,0.0000,"New York-Jersey City-White Plains, NY-NJ",,,
35660,20211001,0.8259,0.0000,"Niles-Benton Harbor, MI",,,
35840,20211001,0.9319,0.0000,"North Port-Sarasota-Bradenton, FL",,,
35980,20211001,1.0954,0.0000,"Norwich-New London, CT",,,
36084,20211001,1.8181,0.0000,"Oakland-Hayward-Berkeley, CA",,,
36100,20211001,0.8734,0.0000,"Ocala, FL",,,
36140,20211001,1.0709,0.0000,"Ocean City, NJ",,,
36220,20211001,0.8773,0.0000,"Odessa, TX",,,
36260,20211001,0.9181,0.0000,"Ogden-Clearfield, UT",,,
36420,20211001,0.8783,0.0000,"Oklahoma City, OK",,,
36500,20211001,1.1490,0.0000,"Olympia-Tumwater, WA",,,
36540,20211001,0.9538,0.0000,"Omaha-Council Bluffs, NE-IA",,,
36740,20211001,0.9003,0.0000,"Orlando-Kissimmee-Sanford, FL",,,
36780,20211001,0.9473,0.0000,"Oshkosh-Neenah, WI",,,
36980,20211001,0.8446,0.0000,"Owensboro, KY",,,
37100,20211001,1.3884,0.0000,"Oxnard-Thousand Oaks-Ventura, CA",,,
37340,20211001,0.8921,0.0000,"Palm Bay-Melbourne-Titusville, FL",,,
37460,20211001,0.8932,0.0000,"Panama City, FL",,,
37620,20211001,0.8000,0.0000,"Parkersburg-Vienna, WV",,,
37860,20211001,0.8091,0.0000,"Pensacola-Ferry Pass-Brent, FL",,,
37900,20211001,0.8457,0.0000,"Peoria, IL",,,
37964,20211001,1.1073,0.0000,"Philadelphia, PA",,,
38060,20211001,0.9865,0.0000,"Phoenix-Mesa-Scottsdale, AZ",,,
38220,20211001,0.8000,0.0000,"Pine Bluff, AR",,,
38300,20211001,0.8347,0.0000,"Pittsburgh, PA",,,
38340,20211001,1.0406,0.0000,"Pittsfield, MA",,,
38540,20211001,0.8758,0.0000,"Pocatello, ID",,,
38660,20211001,0.4361,0.0000,"Ponce, PR",,,
38860,20211001,0.9847,0.0000,"Portland-South Portland, ME",,,
38900,20211001,1.2332,0.0000,"Portland-Vancouver-Hillsboro, OR-WA",,,
38940,20211001,0.8957,0.0000,"Port St. Lucie, FL",,,
39100,20211001,1.2319,0.0000,"Poughkeepsie-Newburgh-Middletown, NY",,,
39150,20211001,1.0028,0.0000,"Prescott Valley-Prescott, AZ",,,
39300,20211001,1.0262,0.0000,"Providence-Warwick, RI-MA",,,
39340,20211001,0.9553,0.0000,"Provo-Orem, UT",,,
39380,20211001,0.8027,0.0000,"Pueblo, CO",,,
39460,20211001,0.8457,0.0000,"Punta Gorda, FL",,,
39540,20211001,0.9510,0.0000,"Racine, WI",,,
39580,20211001,0.9448,0.0000,"Raleigh, NC",,,
39660,20211001,0.8592,0.0000,"Rapid City, SD",,,
39740,20211001,0.9942,0.0000,"Reading, PA",,,
39820,20211001,1.3932,0.0000,"Redding, CA",,,
39900,20211001,0.9400,0.0000,"Reno, NV",,,
40060,20211001,0.9400,0.0000,"Richmond, VA",,,
40140,20211001,1.2276,0.0000,"Riverside-San Bernardino-Ontario, CA",,,
40220,20211001,0.8515,0.0000,"Roanoke, VA",,,
40340,20211001,1.0615,0.0000,"Rochester, MN",,,
40380,20211001,0.8985,0.0000,"Rochester, NY",,,
40420,20211001,0.9901,0.0000,"Rockford, IL",,,
40484,20211001,1.0359,0.0000,"Rockingham County-Strafford County, NH",,,
40580,20211001,0.8431,0.0000,"Rocky Mount, NC",,,
40660,20211001,0.8732,0.0000,"Rome, GA",,,
40900,20211001,1.7072,0.0000,"Sacramento--Roseville--Arden-Arcade, CA",,,
40980,20211001,0.8788,0.0000,"Saginaw, MI",,,
41060,20211001,0.9153,0.0000,"St. Cloud, MN",,,
41100,20211001,0.9736,0.0000,"St. George, UT",,,
