diagnosticRelatedGroup,relativeWeight,arithmeticMeanLengthOfStay
201,0.4651,15.7
202,0.6366,19.3
203,0.5535,16.2
204,0.7813,21.1
205,1.0784,23.1
206,0.6366,19.3
207,1.8822,31.5
208,1.1097,21.6
215,1.3482,31.9
216,1.3482,31.9
217,1.3482,31.9
218,1.3482,31.9
219,1.3482,31.9
220,1.3482,31.9
221,1.3482,31.9
222,1.3482,31.9
223,1.3482,31.9
224,1.3482,31.9
225,1.3482,31.9
226,1.3482,31.9
227,1.3482,31.9
228,1.3482,31.9
229,1.3482,31.9
231,1.3482,31.9
232,1.3482,31.9
233,1.3482,31.9
234,1.3482,31.9
235,1.3482,31.9
236,1.3482,31.9
239,1.3482,31.9
240,1.0424,26.9
241,1.0424,26.9
242,1.3482,31.9
243,1.3482,31.9
244,1.3482,31.9
245,1.3482,31.9
246,1.3482,31.9
247,1.3482,31.9
248,1.3482,31.9
249,1.3482,31.9
250,1.3482,31.9
251,1.3482,31.9
252,1.3482,31.9
253,1.3482,31.9
254,1.3482,31.9
255,1.3482,31.9
256,1.3482,31.9
257,1.3482,31.9
258,1.3482,31.9
259,1.3482,31.9
260,1.3482,31.9
261,1.3482,31.9
262,1.3482,31.9
263,1.2796,30.6
264,1.2796,30.6
265,1.3482,31.9
266,1.3482,31.9
267,1.3482,31.9
268,1.3482,31.9
269,1.3482,31.9
270,1.3482,31.9
271,1.3482,31.9
272,1.3482,31.9
273,0.6451,19.4
274,0.4651,15.7
280,0.8087,21.3
281,0.4651,15.7
282,0.4651,15.7
283,0.7813,21.1
284,0.4651,15.7
285,0.4651,15.7
286,1.0424,26.9
287,1.0424,26.9
288,1.0362,25.0
289,0.7920,24.5
290,0.7920,24.5
291,0.7976,20.2
292,0.6117,18.2
293,0.4651,15.7
294,0.7985,20.4
295,0.6366,19.3
296,0.7976,20.2
297,0.6117,18.2
298,0.4651,15.7
299,0.7985,20.4
300,0.6366,19.3
301,0.6366,19.3
302,1.0424,26.9
303,0.6366,19.3
304,0.7813,21.1
305,0.4651,15.7
306,0.7813,21.1
307,0.4651,15.7
308,0.7813,21.1
309,0.4651,15.7
310,0.4651,15.7
311,0.4651,15.7
312,1.0424,26.9
313,0.4651,15.7
314,0.9890,23.5
315,0.6348,20.4
316,0.6330,19.8
319,1.3482,31.9
320,1.3482,31.9
326,1.3482,31.9
327,0.7638,21.0
328,0.7638,21.0
329,1.0424,26.9
330,0.7813,21.1
331,0.7638,21.0
332,0.7638,21.0
333,0.7638,21.0
334,0.7638,21.0
335,1.0424,26.9
336,0.7638,21.0
337,0.7638,21.0
338,0.9803,24.0
339,0.7638,21.0
340,0.7638,21.0
341,0.9803,24.0
342,0.7638,21.0
343,0.7638,21.0
344,0.9803,24.0
345,0.7638,21.0
346,0.7638,21.0
347,0.9803,24.0
348,0.7638,21.0
349,0.7638,21.0
350,1.3482,31.9
351,0.7638,21.0
352,0.7638,21.0
353,1.0424,26.9
354,0.7638,21.0
355,0.7638,21.0
356,1.4459,32.4
357,1.0424,26.9
358,1.0424,26.9
368,0.7813,21.1
369,0.7638,21.0
370,0.6366,19.3
371,0.9803,24.0
372,0.7638,21.0
373,0.7638,21.0
374,0.4651,15.7
375,0.4651,15.7
376,0.4651,15.7
377,0.7761,19.5
378,0.4651,15.7
379,0.4651,15.7
380,1.1881,29.2
381,1.0424,26.9
382,0.4651,15.7
383,0.6366,19.3
384,0.6366,19.3
385,1.3482,31.9
386,1.3482,31.9
387,1.3482,31.9
388,1.0675,24.0
389,0.7813,21.1
390,0.7813,21.1
391,0.8006,21.2
392,0.6167,17.4
393,1.0074,25.9
394,0.8572,21.7
395,0.8572,21.7
405,1.3482,31.9
406,0.4651,15.7
407,0.4651,15.7
408,0.8572,21.7
409,0.4651,15.7
410,0.4651,15.7
411,1.1881,29.2
412,1.0424,26.9
413,0.4651,15.7
414,1.3482,31.9
415,0.8572,21.7
416,0.8572,21.7
417,0.9803,24.0
418,0.7638,21.0
419,0.7638,21.0
420,0.8572,21.7
421,0.4651,15.7
422,0.4651,15.7
423,1.0424,26.9
424,0.4651,15.7
425,0.4651,15.7
432,0.8286,19.1
433,0.7813,21.1
434,0.7813,21.1
435,0.6366,19.3
436,0.4651,15.7
437,0.4651,15.7
438,1.0982,25.0
439,0.6366,19.3
440,0.6366,19.3
441,0.8810,23.6
442,0.4651,15.7
443,0.4651,15.7
444,0.9455,23.8
445,0.8531,22.2
446,0.6366,19.3
453,0.9111,23.2
454,0.7813,21.1
455,0.7813,21.1
456,0.9111,23.2
457,0.7813,21.1
458,0.7813,21.1
459,0.9111,23.2
460,0.7813,21.1
461,0.9111,23.2
462,0.7813,21.1
463,1.3981,34.1
464,1.0571,32.7
465,0.6366,19.3
466,0.7813,21.1
467,0.4651,15.7
468,0.4651,15.7
469,1.3482,31.9
470,1.0424,26.9
471,0.7813,21.1
472,0.7813,21.1
473,0.7813,21.1
474,1.3482,31.9
475,1.0424,26.9
476,0.9111,23.2
477,1.3482,31.9
478,0.9111,23.2
479,0.9111,23.2
480,1.3482,31.9
481,1.3482,31.9
482,1.3482,31.9
483,1.3482,31.9
485,1.3482,31.9
486,1.3482,31.9
487,1.3482,31.9
488,1.3482,31.9
489,1.3482,31.9
492,1.3482,31.9
493,1.3482,31.9
494,1.3482,31.9
495,1.3482,31.9
496,1.3482,31.9
497,1.3482,31.9
498,1.3482,31.9
499,1.3482,31.9
500,1.2141,32.6
501,1.2141,32.6
502,0.7813,21.1
503,0.6366,19.3
504,0.6366,19.3
505,0.6366,19.3
506,0.6366,19.3
507,0.7813,21.1
508,0.4651,15.7
509,0.4651,15.7
510,0.4651,15.7
511,0.4651,15.7
512,0.4651,15.7
513,0.6366,19.3
514,0.6366,19.3
515,1.2787,30.1
516,1.2141,32.6
517,1.2141,32.6
518,1.0424,26.9
519,0.7813,21.1
520,0.7813,21.1
521,0.7813,21.1
522,0.7813,21.1
533,0.6366,19.3
534,0.4651,15.7
535,0.7813,21.1
536,0.4651,15.7
537,0.7813,21.1
538,0.4651,15.7
539,1.0644,29.7
540,0.8379,26.5
541,0.7813,21.1
542,1.0424,26.9
543,0.4651,15.7
544,0.4651,15.7
545,1.0424,26.9
546,0.6366,19.3
547,0.6366,19.3
548,0.9266,25.8
549,0.9266,25.8
550,0.9266,25.8
551,1.0371,24.8
552,1.0144,24.8
553,0.5522,17.4
554,0.5522,17.4
555,0.8410,23.1
556,0.6366,19.3
557,0.9107,25.9
558,0.7402,22.7
559,0.8568,23.5
560,0.7060,22.0
561,0.6366,19.3
562,0.7813,21.1
563,0.7813,21.1
564,0.9111,23.2
565,0.7813,21.1
566,0.7813,21.1
570,1.3069,32.1
571,0.9509,28.0
572,0.9282,28.0
573,1.6419,45.2
574,1.0424,26.9
575,1.0424,26.9
576,1.0424,26.9
577,1.0424,26.9
578,1.0424,26.9
579,1.2501,31.3
580,1.0535,30.2
581,0.9509,28.0
582,0.9509,28.0
583,0.9509,28.0
584,0.9509,28.0
585,0.9509,28.0
592,0.8831,24.0
593,0.7639,24.2
594,0.4651,15.7
595,0.7813,21.1
596,0.7813,21.1
597,0.7813,21.1
598,0.7813,21.1
599,0.7813,21.1
600,0.7813,21.1
601,0.7813,21.1
602,0.7425,20.9
603,0.5484,17.3
604,1.3482,31.9
605,0.4651,15.7
606,0.9171,21.5
607,0.6366,19.3
614,0.7813,21.1
615,0.7813,21.1
616,1.3482,31.9
617,1.3482,31.9
618,1.3482,31.9
619,1.0424,26.9
620,1.0424,26.9
621,1.0424,26.9
622,1.2933,33.8
623,0.9459,26.8
624,0.6366,19.3
625,1.2294,32.5
626,1.1816,32.5
627,0.8572,21.7
628,1.2294,32.5
629,1.1816,32.5
630,0.8572,21.7
637,1.0163,25.3
638,0.7412,22.9
639,0.4651,15.7
640,0.8871,22.4
641,0.5859,19.2
642,0.8572,21.7
643,0.7813,21.1
644,0.6366,19.3
645,0.6366,19.3
653,1.3482,31.9
654,1.3482,31.9
655,1.3482,31.9
656,0.4651,15.7
657,0.4651,15.7
658,0.4651,15.7
659,1.3482,31.9
660,1.3482,31.9
661,1.3482,31.9
662,1.3482,31.9
663,1.3482,31.9
664,1.3482,31.9
665,1.3482,31.9
666,1.3482,31.9
667,1.3482,31.9
668,1.3482,31.9
669,1.3482,31.9
670,1.3482,31.9
671,0.6366,19.3
672,0.6366,19.3
673,1.3422,29.3
674,1.0424,26.9
675,0.6366,19.3
682,0.9115,21.9
683,0.7110,20.1
684,0.6366,19.3
686,0.4651,15.7
687,0.4651,15.7
688,0.4651,15.7
689,0.6615,20.2
690,0.4846,16.0
693,1.3482,31.9
694,0.4651,15.7
695,1.3482,31.9
696,1.3482,31.9
697,0.7992,20.6
698,0.7992,20.6
699,0.7813,21.1
700,0.7813,21.1
707,1.0040,26.2
708,1.0040,26.2
709,1.3482,31.9
710,0.7813,21.1
711,1.0040,26.2
712,1.0040,26.2
713,1.0040,26.2
714,1.0040,26.2
715,0.6366,19.3
716,0.6366,19.3
717,1.3482,31.9
718,0.6366,19.3
722,0.7813,21.1
723,0.7813,21.1
724,0.7813,21.1
725,1.0040,26.2
726,1.0040,26.2
727,1.0040,26.2
728,0.7813,21.1
729,0.6366,19.3
730,0.6366,19.3
734,1.0424,26.9
735,1.0424,26.9
736,1.0424,26.9
737,1.0424,26.9
738,1.0424,26.9
739,1.2294,32.5
740,1.1816,32.5
741,0.7638,21.0
742,1.0424,26.9
743,1.0424,26.9
744,0.4651,15.7
745,0.4651,15.7
746,1.0424,26.9
747,1.0424,26.9
748,1.0424,26.9
749,1.0424,26.9
750,1.0424,26.9
754,0.4651,15.7
755,0.4651,15.7
756,0.4651,15.7
757,1.0424,26.9
758,0.7813,21.1
759,0.4651,15.7
760,0.4651,15.7
761,0.4651,15.7
768,0.4651,15.7
769,0.4651,15.7
770,0.4651,15.7
776,0.4651,15.7
779,0.4651,15.7
783,1.1816,32.5
784,1.1816,32.5
785,1.1816,32.5
786,1.1816,32.5
787,1.1816,32.5
788,1.1816,32.5
789,0.4651,15.7
790,0.4651,15.7
791,0.4651,15.7
792,0.4651,15.7
793,0.4651,15.7
794,0.4651,15.7
795,0.4651,15.7
796,0.4651,15.7
797,0.4651,15.7
798,0.4651,15.7
799,1.4459,32.4
800,1.0424,26.9
801,1.0424,26.9
802,0.7813,21.1
803,0.7813,21.1
804,0.7813,21.1
805,0.4651,15.7
806,0.4651,15.7
807,0.4651,15.7
808,0.7126,20.3
809,0.7126,20.3
810,0.4651,15.7
811,1.0424,26.9
812,0.4651,15.7
813,1.3482,31.9
814,0.9170,24.1
815,0.9170,24.1
816,0.9170,24.1
817,0.4651,15.7
818,0.4651,15.7
819,0.4651,15.7
820,1.3582,33.2
821,0.7813,21.1
822,0.7813,21.1
823,0.7813,21.1
824,0.7813,21.1
825,0.7813,21.1
826,1.3582,33.2
827,0.7813,21.1
828,0.7813,21.1
829,0.7813,21.1
830,0.7813,21.1
831,0.4651,15.7
832,0.4651,15.7
833,0.4651,15.7
834,0.7813,21.1
835,0.7813,21.1
836,0.7813,21.1
837,0.7813,21.1
838,0.7813,21.1
839,0.7813,21.1
840,0.7813,21.1
841,0.6366,19.3
842,0.6366,19.3
843,0.7813,21.1
844,0.6366,19.3
845,0.6366,19.3
846,0.7813,21.1
847,0.7813,21.1
848,0.7813,21.1
849,0.6366,19.3
853,1.6784,34.9
854,1.3482,31.9
855,1.3482,31.9
856,1.4828,34.0
857,1.0424,26.9
858,1.0424,26.9
862,1.0102,25.2
863,0.6878,22.1
864,0.6366,19.3
865,1.0424,26.9
866,0.6366,19.3
867,1.1393,23.0
868,0.6366,19.3
869,0.6366,19.3
870,2.0140,29.5
871,0.9149,22.7
872,0.6173,17.9
876,0.7881,22.9
880,0.4959,17.7
881,0.6214,20.3
882,0.6214,20.3
883,0.6214,20.3
884,0.5152,24.5
885,0.4901,23.1
886,0.4959,17.7
887,0.4959,17.7
894,0.4959,17.7
895,0.4670,25.4
896,0.7881,22.9
897,0.6214,20.3
901,1.3408,32.4
902,1.3294,31.9
903,0.7813,21.1
904,1.0424,26.9
905,0.7813,21.1
906,1.0424,26.9
907,1.3582,33.2
908,0.7813,21.1
909,0.7813,21.1
913,0.6366,19.3
914,0.6366,19.3
915,0.7813,21.1
916,0.7813,21.1
917,0.7813,21.1
918,0.7813,21.1
919,1.1214,27.7
920,0.7563,22.2
921,0.6366,19.3
922,0.6366,19.3
923,0.6366,19.3
927,1.3482,31.9
928,1.0424,26.9
929,1.0424,26.9
933,1.0424,26.9
934,0.6366,19.3
935,0.8410,23.1
939,1.3615,29.4
940,1.0424,26.9
941,1.0424,26.9
945,0.6621,20.5
946,0.4063,16.3
947,0.7015,19.8
948,0.6366,19.3
949,0.7167,21.2
950,0.4651,15.7
951,0.6366,19.3
955,1.0424,26.9
956,1.0424,26.9
957,1.0424,26.9
958,0.7813,21.1
959,0.7813,21.1
963,1.0424,26.9
964,1.0424,26.9
965,1.0424,26.9
969,1.3482,31.9
970,1.3482,31.9
974,1.4168,26.4
975,1.3482,31.9
976,1.3482,31.9
977,0.7813,21.1
981,2.3910,42.1
982,1.2237,31.0
983,0.6366,19.3
987,2.1842,39.5
988,0.6366,19.3
989,0.6366,19.3
