diagnosticRelatedGroup,effectiveDate,weight,geometricMeanLengthOfStay,lowVolumeDrg,arithmeticMeanLengthOfStay,postAcuteCare,specialPaymentPostAcuteCare,description
254,2025-10-01,1.7817,1.8,,2.2,,,OTHER VASCULAR PROCEDURES
255,2025-10-01,2.6974,6.8,,8.6,Y,,UPPER LIMB AND TOE AMPUTAT
256,2025-10-01,1.6979,5.0,,6.1,Y,,UPPER LIMB AND TOE AMPUTAT
257,2025-10-01,1.0922,3.1,,3.8,Y,,UPPER LIMB AND TOE AMPUTAT
258,2025-10-01,3.1421,5.4,,7.2,,,CARDIAC PACEMAKER DEVICE R
259,2025-10-01,2.0221,2.4,,2.8,,,CARDIAC PACEMAKER DEVICE R
260,2025-10-01,3.2528,5.5,,7.7,,,CARDIAC PACEMAKER REVISION
261,2025-10-01,1.8905,2.8,,3.6,,,CARDIAC PACEMAKER REVISION
262,2025-10-01,1.6299,2.1,,2.4,,,CARDIAC PACEMAKER REVISION
263,2025-10-01,3.0574,4.7,,6.8,,,VEIN LIGATION AND STRIPPIN
264,2025-10-01,3.3406,6.7,,9.7,Y,,OTHER CIRCULATORY SYSTEM O
265,2025-10-01,3.6182,4.4,,6.3,,,AICD LEAD PROCEDURES
266,2025-10-01,6.1284,2.5,,4.5,Y,Y,ENDOVASCULAR CARDIAC VALVE
267,2025-10-01,4.7608,1.3,,1.5,Y,Y,ENDOVASCULAR CARDIAC VALVE
268,2025-10-01,6.8779,6.1,,9.2,,,AORTIC AND HEART ASSIST PR
269,2025-10-01,4.2232,1.5,,2.0,,,AORTIC AND HEART ASSIST PR
270,2025-10-01,5.2763,6.3,,9.3,,,OTHER MAJOR CARDIOVASCULAR
271,2025-10-01,3.5563,3.7,,5.0,,,OTHER MAJOR CARDIOVASCULAR
272,2025-10-01,2.5530,1.7,,2.2,,,OTHER MAJOR CARDIOVASCULAR
273,2025-10-01,4.1255,3.7,,5.6,,,PERCUTANEOUS AND OTHER INT
274,2025-10-01,3.2917,1.2,,1.4,,,PERCUTANEOUS AND OTHER INT
275,2025-10-01,7.1304,8.3,,10.3,,,CARDIAC DEFIBRILLATOR IMPL
276,2025-10-01,6.0066,6.2,,8.1,Y,Y,CARDIAC DEFIBRILLATOR IMPL
277,2025-10-01,4.6185,3.3,,4.1,Y,Y,CARDIAC DEFIBRILLATOR IMPL
278,2025-10-01,5.5662,7.2,,10.4,,,ULTRASOUND ACCELERATED AND
279,2025-10-01,3.6064,3.5,,5.0,,,ULTRASOUND ACCELERATED AND
280,2025-10-01,1.6041,4.1,,5.3,Y,,ACUTE MYOCARDIAL INFARCTIO
281,2025-10-01,0.9191,2.3,,2.9,Y,,ACUTE MYOCARDIAL INFARCTIO
282,2025-10-01,0.7231,1.7,,2.0,Y,,ACUTE MYOCARDIAL INFARCTIO
283,2025-10-01,1.9808,3.2,,5.3,,,ACUTE MYOCARDIAL INFARCTIO
284,2025-10-01,0.6922,1.5,,2.0,,,ACUTE MYOCARDIAL INFARCTIO
285,2025-10-01,0.5989,1.1,,1.3,,,ACUTE MYOCARDIAL INFARCTIO
286,2025-10-01,2.2128,5.4,,7.2,,,CIRCULATORY DISORDERS EXCE
287,2025-10-01,1.0701,2.1,,2.7,,,CIRCULATORY DISORDERS EXCE
288,2025-10-01,2.7062,7.5,,9.7,Y,,ACUTE AND SUBACUTE ENDOCAR
289,2025-10-01,1.7069,5.2,,6.4,Y,,ACUTE AND SUBACUTE ENDOCAR
290,2025-10-01,0.9297,2.9,,3.5,Y,,ACUTE AND SUBACUTE ENDOCAR
291,2025-10-01,1.2838,3.8,,5.0,Y,,HEART FAILURE AND SHOCK WI
292,2025-10-01,0.8490,2.9,,3.7,Y,,HEART FAILURE AND SHOCK WI
293,2025-10-01,0.5660,2.1,,2.5,Y,,HEART FAILURE AND SHOCK WI
296,2025-10-01,1.5619,2.0,,3.2,,,"CARDIAC ARREST, UNEXPLAINE"
297,2025-10-01,0.6340,1.3,,1.7,,,"CARDIAC ARREST, UNEXPLAINE"
298,2025-10-01,0.4551,1.1,,1.2,,,"CARDIAC ARREST, UNEXPLAINE"
299,2025-10-01,1.6327,3.9,,5.5,Y,,PERIPHERAL VASCULAR DISORD
300,2025-10-01,1.0675,3.1,,3.9,Y,,PERIPHERAL VASCULAR DISORD
301,2025-10-01,0.7197,2.0,,2.5,Y,,PERIPHERAL VASCULAR DISORD
