diagnosticRelatedGroup,relativeWeight,arithmeticMeanLengthOfStay
339,0.6142,18.9
340,0.5193,16.9
341,0.8548,23.6
342,0.8548,23.6
343,0.8548,23.6
344,0.8548,23.6
345,0.6142,18.9
346,0.5193,16.9
347,0.6142,18.9
348,0.6142,18.9
349,0.5193,16.9
350,0.9479,23.3
351,0.6142,18.9
352,0.5193,16.9
353,1.0152,25.2
354,0.6142,18.9
355,0.5193,16.9
356,1.6086,35.2
357,0.8548,23.6
358,0.8548,23.6
368,1.0152,25.2
369,0.5193,16.9
370,0.5193,16.9
371,0.9479,23.3
372,0.6142,18.9
373,0.5193,16.9
374,1.0152,25.2
375,0.6374,19.3
376,0.6374,19.3
377,0.8246,20.2
378,0.6374,19.3
379,0.6374,19.3
380,1.012,27.5
381,1.012,27.5
382,1.012,27.5
383,0.5193,16.9
384,0.5193,16.9
385,0.9176,23.2
386,0.9176,23.2
387,0.9176,23.2
388,0.9436,22.8
389,0.6979,20.6
390,0.6979,20.6
391,0.8619,22.7
392,0.6622,19.9
393,1.1208,26.7
394,0.8387,22.5
395,0.8387,22.5
405,1.7482,36.8
406,0.6142,18.9
407,0.5193,16.9
408,0.8548,23.6
409,0.6142,18.9
410,0.5193,16.9
411,0.8548,23.6
412,0.6142,18.9
413,0.5193,16.9
414,0.6374,19.3
415,0.6142,18.9
416,0.5193,16.9
417,1.7482,36.8
418,0.5193,16.9
419,0.5193,16.9
420,1.0152,25.2
421,1.0152,25.2
422,1.0152,25.2
423,1.7482,36.8
424,0.5193,16.9
425,0.5193,16.9
432,0.8313,20.9
433,0.8313,20.9
434,0.8313,20.9
435,0.8548,23.6
436,0.5193,16.9
437,0.5193,16.9
438,1.117,25.3
439,0.8548,23.6
440,0.5193,16.9
441,0.8511,21.7
442,0.6374,19.3
443,0.5193,16.9
444,0.8138,22.3
445,0.6187,20.2
446,0.5193,16.9
453,1.7482,36.8
454,0.8857,24.8
455,0.8857,24.8
456,1.0136,24.5
457,0.8857,24.8
458,0.8857,24.8
459,1.0136,24.5
460,0.8857,24.8
461,1.0136,24.5
462,0.8857,24.8
463,1.5554,37.7
464,1.1761,33.2
465,0.6374,19.3
466,1.7482,36.8
467,0.8857,24.8
468,0.8857,24.8
469,1.6613,40.4
470,0.8857,24.8
471,1.0136,24.5
472,0.8857,24.8
473,0.8857,24.8
474,1.6613,40.4
475,1.6613,40.4
476,0.8548,23.6
477,1.7482,36.8
478,0.8548,23.6
479,0.8548,23.6
480,1.7482,36.8
481,1.7482,36.8
482,1.7482,36.8
483,0.6374,19.3
485,1.0152,25.2
486,1.0152,25.2
487,1.0152,25.2
488,1.7482,36.8
489,1.7482,36.8
492,1.7482,36.8
493,0.8548,23.6
494,0.8548,23.6
495,1.7482,36.8
496,0.8548,23.6
497,0.8548,23.6
498,1.7482,36.8
499,1.7482,36.8
500,1.2701,34.3
501,1.2701,34.3
502,0.5193,16.9
503,1.0152,25.2
504,1.0152,25.2
505,1.0152,25.2
506,0.5193,16.9
507,0.5193,16.9
508,0.5193,16.9
509,0.5193,16.9
510,0.6374,19.3
511,0.6374,19.3
512,0.6374,19.3
513,0.8548,23.6
514,0.8548,23.6
515,1.4226,31.7
516,0.6374,19.3
517,0.6374,19.3
518,1.7482,36.8
519,0.8857,24.8
520,0.8857,24.8
521,0.8857,24.8
522,0.8857,24.8
533,1.0152,25.2
534,1.0152,25.2
535,1.0152,25.2
536,0.5193,16.9
537,1.0152,25.2
538,0.5193,16.9
539,1.0867,29.2
540,0.853,26.7
541,0.6374,19.3
542,1.0152,25.2
543,0.5193,16.9
544,0.5193,16.9
545,1.0152,25.2
546,0.5193,16.9
547,0.5193,16.9
548,1.0021,25.1
549,0.7236,23.3
550,0.6374,19.3
551,1.1538,27.7
552,0.6374,19.3
553,1.7482,36.8
554,0.8548,23.6
555,1.0152,25.2
556,0.6374,19.3
557,1.0132,26
558,0.8235,25.7
559,0.9123,24.5
560,0.755,24
561,0.6374,19.3
562,1.0152,25.2
563,1.0152,25.2
564,1.0136,24.5
565,0.8857,24.8
566,0.8857,24.8
570,1.4158,33.6
571,1.0579,30.8
572,0.8548,23.6
573,1.8267,46
574,1.7482,36.8
575,1.0152,25.2
576,1.7482,36.8
577,0.8548,23.6
578,0.8548,23.6
579,1.379,32.8
580,1.172,30.8
581,0.5193,16.9
582,1.7482,36.8
583,0.6374,19.3
584,1.0152,25.2
585,1.0152,25.2
592,0.968,26.7
593,0.7203,23.8
594,0.7203,23.8
595,0.8548,23.6
596,0.5193,16.9
597,0.6374,19.3
598,0.6374,19.3
599,0.6374,19.3
600,0.8548,23.6
601,0.5193,16.9
602,0.772,21.2
603,0.5543,18.1
604,0.7795,24.1
605,0.6374,19.3
606,1.0203,24.2
607,0.8548,23.6
614,0.8548,23.6
615,0.8548,23.6
616,1.6744,38
617,1.3149,36.4
618,1.3149,36.4
619,0.8548,23.6
620,0.8548,23.6
621,0.8548,23.6
622,1.3612,34
623,1.0435,29.2
624,0.8548,23.6
625,1.3677,32.1
626,1.0152,25.2
627,0.8387,22.5
628,1.3677,32.1
629,1.0152,25.2
630,0.8387,22.5
637,0.9933,25.5
638,0.82,22.7
639,0.5193,16.9
640,0.917,23
641,0.6518,19.1
642,1.0152,25.2
643,0.8548,23.6
644,0.6374,19.3
645,0.6374,19.3
653,0.8548,23.6
654,0.8548,23.6
655,0.8548,23.6
656,1.0152,25.2
657,0.8548,23.6
658,0.8548,23.6
659,1.7482,36.8
660,0.8548,23.6
661,0.8548,23.6
662,1.0152,25.2
663,0.8548,23.6
664,0.8548,23.6
665,0.6374,19.3
666,0.6374,19.3
667,0.6374,19.3
668,1.7482,36.8
669,1.0152,25.2
670,1.0152,25.2
671,0.6374,19.3
672,0.6374,19.3
673,1.4245,31
674,1.057,24.9
675,0.6374,19.3
682,0.908,22.6
683,0.73,20.7
684,0.6374,19.3
686,1.0152,25.2
687,0.5193,16.9
688,0.5193,16.9
689,0.726,20.3
690,0.5391,17.7
693,0.5193,16.9
694,0.5193,16.9
695,0.5193,16.9
696,0.5193,16.9
697,0.8845,22.9
698,0.8845,22.9
699,0.5688,18.5
700,0.5688,18.5
707,0.8548,23.6
708,0.8548,23.6
709,1.7482,36.8
710,0.5688,18.5
711,1.7482,36.8
712,0.6374,19.3
713,1.7482,36.8
714,1.7482,36.8
715,0.6374,19.3
716,0.6374,19.3
717,1.7482,36.8
718,0.6374,19.3
722,0.5193,16.9
723,0.5193,16.9
724,0.5193,16.9
725,0.5193,16.9
726,0.5193,16.9
727,0.7668,22.2
728,0.6066,20.8
729,0.8548,23.6
730,0.6374,19.3
734,0.8548,23.6
735,0.8548,23.6
736,0.8548,23.6
737,0.8548,23.6
738,0.8548,23.6
739,0.8548,23.6
740,0.8548,23.6
741,0.5193,16.9
742,0.8548,23.6
743,0.8548,23.6
744,1.0152,25.2
745,1.0152,25.2
746,0.8548,23.6
747,0.8548,23.6
748,0.8548,23.6
749,0.8548,23.6
750,0.8548,23.6
754,1.0152,25.2
755,1.0152,25.2
756,1.0152,25.2
757,0.8253,24.8
758,0.6374,19.3
759,0.6374,19.3
760,0.6374,19.3
761,0.6374,19.3
768,0.6374,19.3
