cbsa,effectiveDate,geographicWageIndex,name,imputedFloorWageIndex,reclassifiedWageIndex,ruralFloorWageIndex,size
34820,20231001,0.8398,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",,,,
34900,20231001,1.4902,"Napa, CA",,,,
34940,20231001,0.8375,"Naples-Marco Island, FL",,,,
34980,20231001,0.8782,"Nashville-Davidson--Murfreesboro--Franklin, TN",,,,
35004,20231001,1.3338,"Nassau County-Suffolk County, NY",,,,
35084,20231001,1.1288,"Newark, NJ-PA",,,,
35100,20231001,0.7527,"New Bern, NC",,,,
35154,20231001,1.1179,"New Brunswick-Lakewood, NJ",,,,
35300,20231001,1.1340,"New Haven-Milford, CT",,,,
35380,20231001,0.8186,"New Orleans-Metairie, LA",,,,
35614,20231001,1.3729,"New York-Jersey City-White Plains, NY-NJ",,,,
35660,20231001,0.7835,"Niles, MI",,,,
35840,20231001,0.9161,"North Port-Sarasota-Bradenton, FL",,,,
35980,20231001,1.0665,"Norwich-New London, CT",,,,
36084,20231001,1.8990,"Oakland-Berkeley-Livermore, CA",,,,
36100,20231001,0.9030,"Ocala, FL",,,,
36140,20231001,1.0355,"Ocean City, NJ",,,,
36220,20231001,0.8297,"Odessa, TX",,,,
36260,20231001,0.8956,"Ogden-Clearfield, UT",,,,
36420,20231001,0.8855,"Oklahoma City, OK",,,,
36500,20231001,1.1205,"Olympia-Lacey-Tumwater, WA",,,,
36540,20231001,0.9571,"Omaha-Council Bluffs, NE-IA",,,,
36740,20231001,0.8654,"Orlando-Kissimmee-Sanford, FL",,,,
36780,20231001,0.9051,"Oshkosh-Neenah, WI",,,,
36980,20231001,0.8555,"Owensboro, KY",,,,
37100,20231001,1.3086,"Oxnard-Thousand Oaks-Ventura, CA",,,,
37340,20231001,0.8678,"Palm Bay-Melbourne-Titusville, FL",,,,
37460,20231001,0.8789,"Panama City, FL",,,,
37620,20231001,0.7597,"Parkersburg-Vienna, WV",,,,
37860,20231001,0.7692,"Pensacola-Ferry Pass-Brent, FL",,,,
37900,20231001,0.8271,"Peoria, IL",,,,
37964,20231001,1.0877,"Philadelphia, PA",,,,
38060,20231001,0.9831,"Phoenix-Mesa-Chandler, AZ",,,,
38220,20231001,0.7343,"Pine Bluff, AR",,,,
38300,20231001,0.8244,"Pittsburgh, PA",,,,
38340,20231001,1.0361,"Pittsfield, MA",,,,
38540,20231001,0.9438,"Pocatello, ID",,,,
38660,20231001,0.3540,"Ponce, PR",,,,
38860,20231001,0.9837,"Portland-South Portland, ME",,,,
38900,20231001,1.2475,"Portland-Vancouver-Hillsboro, OR-WA",,,,
38940,20231001,0.8573,"Port St. Lucie, FL",,,,
39100,20231001,1.2882,"Poughkeepsie-Newburgh-Middletown, NY",,,,
39150,20231001,0.9788,"Prescott Valley-Prescott, AZ",,,,
39300,20231001,1.0012,"Providence-Warwick, RI-MA",,,,
39340,20231001,0.9119,"Provo-Orem, UT",,,,
39380,20231001,0.8537,"Pueblo, CO",,,,
39460,20231001,0.8397,"Punta Gorda, FL",,,,
39540,20231001,0.9931,"Racine, WI",,,,
39580,20231001,0.9367,"Raleigh-Cary, NC",,,,
39660,20231001,0.8668,"Rapid City, SD",,,,
39740,20231001,0.8938,"Reading, PA",,,,
39820,20231001,1.4031,"Redding, CA",,,,
39900,20231001,0.9365,"Reno, NV",,,,
40060,20231001,0.9153,"Richmond, VA",,,,
40140,20231001,1.2368,"Riverside-San Bernardino-Ontario, CA",,,,
40220,20231001,0.8414,"Roanoke, VA",,,,
40340,20231001,1.0746,"Rochester, MN",,,,
40380,20231001,0.9143,"Rochester, NY",,,,
40420,20231001,0.9339,"Rockford, IL",,,,
40484,20231001,1.0040,"Rockingham County-Strafford County, NH",,,,
40580,20231001,0.8688,"Rocky Mount, NC",,,,
40660,20231001,0.8688,"Rome, GA",,,,
40900,20231001,1.6986,"Sacramento-Roseville-Folsom, CA",,,,
40980,20231001,0.8968,"Saginaw, MI",,,,
41060,20231001,0.9534,"St. Cloud, MN",,,,
41100,20231001,0.9212,"St. George, UT",,,,
41140,20231001,0.8621,"St. Joseph, MO-KS",,,,
41180,20231001,0.9452,"St. Louis, MO-IL",,,,
41420,20231001,1.1546,"Salem, OR",,,,
41500,20231001,1.7253,"Salinas, CA",,,,
41540,20231001,0.9218,"Salisbury, MD-DE",,,,
41620,20231001,0.9212,"Salt Lake City, UT",,,,
41660,20231001,0.7416,"San Angelo, TX",,,,
41700,20231001,0.8649,"San Antonio-New Braunfels, TX",,,,
41740,20231001,1.2977,"San Diego-Chula Vista-Carlsbad, CA",,,,
