cmgCode,bRelativeWeight,cRelativeWeight,dRelativeWeight,aRelativeWeight,bAvgLengthOfStay,cAvgLengthOfStay,dAvgLengthOfStay,aAvgLengthOfStay
1902,1.9505,1.3785,1.1984,1.1987,15,14,13,13
1903,2.7597,1.9504,1.6956,1.696,20,18,17,18
1904,4.2436,2.9991,2.6072,2.608,37,30,25,25
2001,1.1884,0.9531,0.8864,0.8114,10,10,9,9
2002,1.4755,1.1833,1.1004,1.0074,12,12,11,11
2003,1.7326,1.3895,1.2922,1.183,14,13,13,12
2004,2.1131,1.6946,1.576,1.4427,17,16,15,15
2005,2.2118,1.7738,1.6496,1.5101,18,17,16,15
2101,1.6061,1.3503,1.0183,0.9765,15,15,10,11
2102,2.5451,2.1397,1.6136,1.5474,19,18,16,16
5001,0,0,0,0.1755,0,0,0,3
5101,0,0,0,0.8539,0,0,0,8
5102,0,0,0,2.0485,0,0,0,20
5103,0,0,0,0.9118,0,0,0,8
5104,0,0,0,2.1881,0,0,0,20
