cmgCode,bRelativeWeight,cRelativeWeight,dRelativeWeight,aRelativeWeight,bAvgLengthOfStay,cAvgLengthOfStay,dAvgLengthOfStay,aAvgLengthOfStay
0603,2.0025,1.4979,1.4189,1.2658,16,15,14,13
0604,2.4840,1.8580,1.7601,1.5701,20,18,17,16
0701,1.2419,0.9629,0.9196,0.8518,11,11,10,10
0702,1.5281,1.1848,1.1316,1.0482,13,13,12,12
0703,1.9017,1.4745,1.4083,1.3044,16,15,15,14
0704,2.2895,1.7752,1.6954,1.5705,19,18,17,16
0801,1.1274,0.9637,0.8723,0.7995,10,10,9,9
0802,1.2971,1.1089,1.0036,0.9199,11,11,10,10
0803,1.4301,1.2225,1.1065,1.0142,12,13,12,11
0804,1.6393,1.4014,1.2684,1.1626,14,14,13,12
0805,1.9629,1.6780,1.5188,1.3921,16,16,15,14
0901,1.2029,0.9634,0.8941,0.8244,11,11,10,9
0902,1.5195,1.2170,1.1294,1.0414,13,13,12,11
0903,1.8043,1.4451,1.3410,1.2366,15,15,14,13
0904,2.1091,1.6892,1.5676,1.4455,17,17,16,15
1001,1.2252,1.0648,0.9244,0.8491,11,12,10,10
1002,1.5216,1.3224,1.1480,1.0545,14,13,12,12
1003,1.7963,1.5612,1.3553,1.2449,15,16,14,14
1004,2.2536,1.9586,1.7004,1.5619,18,20,17,16
1101,1.3533,1.3533,1.0009,0.8003,13,13,11,11
1102,1.6448,1.6448,1.2166,0.9727,13,15,13,12
1103,2.1759,2.1759,1.6094,1.2867,19,17,16,14
1201,1.3114,1.0425,0.9332,0.8328,10,10,11,9
1202,1.7077,1.3576,1.2152,1.0845,14,13,12,12
1203,2.1007,1.6700,1.4949,1.3341,16,15,15,14
1204,2.1645,1.7207,1.5403,1.3746,16,15,16,16
1301,1.2007,0.9365,0.8637,0.8566,9,9,9,9
1302,1.6006,1.2485,1.1514,1.1420,12,12,12,12
1303,1.8725,1.4605,1.3469,1.3359,14,14,14,14
1304,2.2966,1.7913,1.6520,1.6385,15,17,17,16
1305,2.1197,1.6533,1.5248,1.5123,16,15,15,16
1401,1.1393,0.8998,0.8290,0.7582,10,10,9,9
1402,1.4523,1.1470,1.0567,0.9665,13,12,11,11
1403,1.7605,1.3904,1.2810,1.1716,15,14,13,13
1404,2.1566,1.7033,1.5692,1.4352,18,17,16,14
1501,1.3155,1.0243,0.9755,0.9466,11,10,10,10
1502,1.6084,1.2523,1.1927,1.1573,13,12,12,12
1503,1.8745,1.4595,1.3901,1.3488,16,14,13,13
1504,2.2355,1.7406,1.6577,1.6086,21,17,16,15
1601,1.1407,0.8832,0.8583,0.7881,9,10,10,9
1602,1.3373,1.0355,1.0063,0.9240,10,11,11,10
1603,1.6174,1.2524,1.2171,1.1176,14,13,13,13
1604,2.0019,1.5501,1.5064,1.3832,12,14,16,14
1701,1.3034,1.0269,0.9630,0.8772,11,10,11,10
1702,1.6229,1.2787,1.1991,1.0922,13,14,12,12
1703,1.9150,1.5088,1.4149,1.2888,16,15,15,14
1704,2.1702,1.7098,1.6034,1.4605,17,18,17,15
1705,2.4824,1.9558,1.8340,1.6706,23,20,19,17
1801,1.2241,0.9642,0.9021,0.8340,13,11,10,10
1802,1.4660,1.1547,1.0803,0.9988,15,13,12,12
1803,1.8362,1.4463,1.3531,1.2510,17,16,15,14
1804,2.1281,1.6762,1.5683,1.4499,18,17,16,15
1805,2.5312,1.9937,1.8653,1.7246,22,22,19,18
1806,3.4695,2.7327,2.5567,2.3638,38,27,24,24
1901,1.1282,1.0290,0.9875,0.9349,11,13,12,10
1902,1.4132,1.2890,1.2370,1.1711,14,13,14,13
1903,2.0853,1.9021,1.8253,1.7280,19,20,18,19
1904,3.2177,2.9350,2.8165,2.6664,32,31,28,26
2001,1.2001,0.9695,0.8919,0.8116,10,10,10,9
2002,1.4871,1.2014,1.1052,1.0057,13,12,12,11
2003,1.7674,1.4278,1.3135,1.1952,15,14,14,13
2004,2.0792,1.6797,1.5452,1.4061,18,17,16,15
2005,2.2277,1.7996,1.6555,1.5065,19,18,16,15
2101,1.5468,1.1616,1.1017,1.0436,14,13,12,11
2102,2.3998,1.8022,1.7092,1.6191,27,18,16,16
5001,0,0,0,0.1703,0,0,0,3
5101,0,0,0,0.7376,0,0,0,8
5102,0,0,0,1.8932,0,0,0,17
5103,0,0,0,0.8919,0,0,0,9
5104,0,0,0,2.2656,0,0,0,21
9999,0,0,0,0,0,0,0,0
