cmgCode,bRelativeWeight,cRelativeWeight,dRelativeWeight,aRelativeWeight,bAvgLengthOfStay,cAvgLengthOfStay,dAvgLengthOfStay,aAvgLengthOfStay
1301,1.1667,0.9831,0.9315,0.8579,11,11,10,10
1302,1.4269,1.2023,1.1392,1.0492,12,14,12,12
1303,1.6816,1.4169,1.3425,1.2365,13,15,14,14
1304,1.9036,1.6040,1.5198,1.3997,16,17,16,15
1305,1.8768,1.5814,1.4984,1.3800,14,17,16,14
1401,1.1425,0.9303,0.8576,0.7707,11,11,10,9
1402,1.4376,1.1706,1.0792,0.9698,13,13,12,11
1403,1.7346,1.4125,1.3021,1.1702,15,15,14,13
1404,2.0201,1.6450,1.5165,1.3628,18,17,16,15
1501,1.2446,1.0612,0.9769,0.9280,11,11,10,10
1502,1.5082,1.2859,1.1838,1.1245,13,13,12,12
1503,1.7761,1.5143,1.3940,1.3242,15,14,14,13
1504,2.0391,1.7385,1.6005,1.5203,20,17,15,15
1601,1.1312,0.8992,0.8492,0.7836,10,11,10,9
1602,1.3963,1.1099,1.0482,0.9672,11,11,12,11
1603,1.6234,1.2904,1.2187,1.1245,13,14,13,13
1604,1.8910,1.5031,1.4196,1.3098,14,15,15,14
1701,1.4098,1.1015,1.0310,0.9404,12,12,12,11
1702,1.7293,1.3512,1.2647,1.1536,15,14,14,13
1703,2.0092,1.5699,1.4694,1.3403,17,17,16,15
1704,2.2231,1.7369,1.6258,1.4829,20,18,17,17
1705,2.4140,1.8861,1.7654,1.6103,21,20,19,17
1801,1.1788,0.9975,0.8908,0.8151,13,11,10,10
1802,1.5258,1.2911,1.1530,1.0551,15,15,13,12
1803,1.8891,1.5984,1.4275,1.3063,19,18,15,15
1804,2.1888,1.8521,1.6541,1.5136,26,21,18,16
1805,2.5760,2.1797,1.9467,1.7813,27,22,20,20
1806,3.4401,2.9109,2.5996,2.3788,40,31,28,25
1901,1.2297,0.9638,0.9258,0.9026,13,11,11,11
1902,1.7299,1.3558,1.3024,1.2697,17,17,14,15
1903,2.6270,2.0589,1.9778,1.9282,26,23,22,21
1904,3.7274,2.9213,2.8063,2.7359,44,30,29,30
2001,1.2127,0.9812,0.9107,0.8268,11,11,10,10
2002,1.4948,1.2094,1.1225,1.0192,13,13,12,12
2003,1.7515,1.4171,1.3152,1.1942,15,15,14,13
2004,1.9679,1.5922,1.4778,1.3417,18,17,16,15
2005,2.1020,1.7007,1.5785,1.4332,19,18,16,16
2101,1.5423,1.2723,1.1809,1.0614,15,13,13,12
2102,2.2036,1.8179,1.6873,1.5165,22,19,16,17
5001,0,0,0,0.1816,0,0,0,3
5101,0,0,0,0.5703,0,0,0,6
5102,0,0,0,1.7939,0,0,0,18
5103,0,0,0,0.6740,0,0,0,7
5104,0,0,0,2.1956,0,0,0,22
9999,0,0,0,0,0,0,0,0
